ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700022,LN-500339,CUST-103578,CTC-60000197,COL-1053,2025-03-29,2025-04-10,55.53,Kept,55.53,2025-03-31
PTP-700299,LN-505884,CUST-104893,CTC-60002965,COL-1015,2025-03-29,2025-04-04,62.96,Broken,0.0,
PTP-700662,LN-503442,CUST-100824,CTC-60006378,COL-1069,2025-03-29,2025-04-03,284.94,Kept,284.94,2025-03-30
PTP-700821,LN-508013,CUST-101700,CTC-60008026,COL-1008,2025-03-29,2025-04-09,155.96,Kept,155.96,2025-03-30
PTP-700867,LN-509211,CUST-104650,CTC-60008470,COL-1102,2025-03-29,2025-04-02,199.04,Kept,199.04,2025-04-02
PTP-700922,LN-500467,CUST-105623,CTC-60009022,COL-1049,2025-03-29,2025-03-31,695.02,Broken,0.0,
PTP-700945,LN-501590,CUST-101716,CTC-60009270,COL-1117,2025-03-29,2025-04-09,411.93,Partial,135.14,2025-04-09
PTP-701220,LN-500285,CUST-105329,CTC-60011964,COL-1091,2025-03-29,2025-04-05,348.04,Kept,348.04,2025-03-31
PTP-701229,LN-500569,CUST-103902,CTC-60012058,COL-1118,2025-03-29,2025-04-09,694.4,Kept,694.4,2025-04-02
PTP-701279,LN-501491,CUST-103777,CTC-60012524,COL-1075,2025-03-29,2025-04-08,1177.76,Partial,517.08,2025-04-08
PTP-701412,LN-503764,CUST-103001,CTC-60013868,COL-1094,2025-03-29,2025-04-09,1044.36,Partial,370.99,2025-04-09
PTP-701786,LN-509599,CUST-103932,CTC-60017440,COL-1003,2025-03-29,2025-04-12,1042.9,Partial,583.76,2025-04-12
