ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700082,LN-501562,CUST-103954,CTC-60000817,COL-1047,2025-03-27,2025-04-03,100.66,Broken,0.0,
PTP-700229,LN-504548,CUST-102520,CTC-60002303,COL-1011,2025-03-27,2025-04-07,166.94,Kept,166.94,2025-03-31
PTP-700353,LN-506853,CUST-103785,CTC-60003470,COL-1015,2025-03-27,2025-04-08,103.71,Partial,28.59,2025-04-08
PTP-700436,LN-508375,CUST-100200,CTC-60004223,COL-1004,2025-03-27,2025-04-09,157.13,Kept,157.13,2025-04-05
PTP-700522,LN-509911,CUST-103384,CTC-60005000,COL-1076,2025-03-27,2025-04-03,50.0,Broken,0.0,
PTP-700643,LN-502941,CUST-102834,CTC-60006196,COL-1089,2025-03-27,2025-04-09,244.09,Partial,127.46,2025-04-09
PTP-700676,LN-503797,CUST-100743,CTC-60006499,COL-1065,2025-03-27,2025-04-07,107.55,Kept,107.55,2025-04-06
PTP-700722,LN-505174,CUST-104677,CTC-60007010,COL-1054,2025-03-27,2025-03-31,223.74,Kept,223.74,2025-03-29
PTP-700766,LN-506255,CUST-106015,CTC-60007382,COL-1089,2025-03-27,2025-04-07,187.65,Kept,187.65,2025-04-04
PTP-700832,LN-508232,CUST-103862,CTC-60008122,COL-1000,2025-03-27,2025-03-31,416.23,Kept,416.23,2025-03-31
PTP-700866,LN-509211,CUST-104650,CTC-60008469,COL-1073,2025-03-27,2025-04-09,320.2,Kept,320.2,2025-04-05
PTP-700921,LN-500467,CUST-105623,CTC-60009021,COL-1051,2025-03-27,2025-03-29,393.82,Partial,231.39,2025-03-29
PTP-700958,LN-501714,CUST-104015,CTC-60009342,COL-1036,2025-03-27,2025-04-09,516.42,Partial,319.4,2025-04-09
PTP-701281,LN-501503,CUST-103955,CTC-60012547,COL-1083,2025-03-27,2025-03-29,841.78,Partial,228.36,2025-03-29
PTP-701691,LN-508071,CUST-103390,CTC-60016521,COL-1118,2025-03-27,2025-04-07,947.7,Broken,0.0,
PTP-701846,LN-508394,CUST-106153,CTC-60011354,COL-1062,2025-03-27,2025-04-04,584.44,Kept,584.44,2025-03-30
