loan_id,application_id,primary_customer_id,loan_type,loan_sub_product,origination_date,disbursement_date,origination_amount,interest_rate,loan_term_months,is_secured_flag,collateral_type,due_day_of_month,risk_band_code,source_system
LN-500009,APP-200010,CUST-104996,HELOC,HELOC Standard,2024-09-22,2024-09-24,42567.42,0.0851,119,True,Real Estate,5,R3,LOAN_SERVICING
LN-500053,APP-200056,CUST-100357,Personal,Personal Standard,2024-09-22,2024-09-24,5005.19,0.1616,24,False,None,17,R7,LOAN_SERVICING
LN-501473,APP-201584,CUST-103347,Personal,Personal Standard,2024-09-22,2024-09-24,25384.69,0.1997,59,False,None,8,R4,LOAN_SERVICING
LN-503096,APP-203353,CUST-103350,Auto,Auto Standard,2024-09-22,2024-09-23,45920.66,0.0478,37,True,Vehicle,23,R4,LOAN_SERVICING
LN-503488,APP-203784,CUST-105632,Credit Card,Credit Card Standard,2024-09-22,2024-09-23,793.74,0.2565,0,False,None,3,R2,LOAN_SERVICING
LN-503885,APP-204211,CUST-104421,HELOC,HELOC Standard,2024-09-22,2024-09-24,115479.57,0.0829,180,True,Real Estate,7,R4,LOAN_SERVICING
LN-504370,APP-204737,CUST-103697,Auto,Auto Standard,2024-09-22,2024-09-23,18993.05,0.0716,72,True,Vehicle,2,R5,LOAN_SERVICING
LN-504786,APP-205190,CUST-101597,HELOC,HELOC Standard,2024-09-22,2024-09-23,11428.89,0.087,166,True,Real Estate,24,R1,LOAN_SERVICING
LN-505460,APP-205929,CUST-104653,Personal,Personal Standard,2024-09-22,2024-09-22,17695.3,0.1543,51,False,None,15,R6,LOAN_SERVICING
LN-505492,APP-205963,CUST-102007,Auto,Auto Standard,2024-09-22,2024-09-23,38624.39,0.0811,65,True,Vehicle,2,R3,LOAN_SERVICING
LN-505537,APP-206016,CUST-103434,Mortgage,Mortgage Standard,2024-09-22,2024-09-24,442589.9,0.0571,348,True,Real Estate,28,R4,LOAN_SERVICING
LN-505649,APP-206140,CUST-107719,Credit Card,Credit Card Standard,2024-09-22,2024-09-23,16412.84,0.1583,0,False,None,20,R4,LOAN_SERVICING
LN-507012,APP-207610,CUST-106788,HELOC,HELOC Standard,2024-09-22,2024-09-23,81367.1,0.0811,179,True,Real Estate,22,R2,LOAN_SERVICING
LN-507160,APP-207774,CUST-104735,Personal,Personal Standard,2024-09-22,2024-09-24,26218.06,0.1968,28,False,None,2,R4,LOAN_SERVICING
LN-507195,APP-207809,CUST-106129,Auto,Auto Standard,2024-09-22,2024-09-23,14765.14,0.067,67,True,Vehicle,16,R4,LOAN_SERVICING
LN-507310,APP-207937,CUST-107896,Personal,Personal Standard,2024-09-22,2024-09-24,27585.27,0.1538,36,False,None,2,R4,LOAN_SERVICING
LN-507787,APP-208450,CUST-105099,Auto,Auto Standard,2024-09-22,2024-09-24,40580.4,0.0675,58,True,Vehicle,4,R1,LOAN_SERVICING
LN-507838,APP-208504,CUST-103896,Credit Card,Credit Card Standard,2024-09-22,2024-09-22,4507.04,0.1979,0,False,None,19,R3,LOAN_SERVICING
LN-507989,APP-208665,CUST-100010,Personal,Personal Standard,2024-09-22,2024-09-22,26528.65,0.1226,44,False,None,8,R1,LOAN_SERVICING
LN-508026,APP-208703,CUST-103548,Credit Card,Credit Card Standard,2024-09-22,2024-09-22,14701.85,0.1867,0,False,None,25,R4,LOAN_SERVICING
LN-508231,APP-208926,CUST-105904,Personal,Personal Standard,2024-09-22,2024-09-23,29537.37,0.1835,51,False,None,8,R2,LOAN_SERVICING
LN-508239,APP-208934,CUST-106892,HELOC,HELOC Standard,2024-09-22,2024-09-24,75354.64,0.063,121,True,Real Estate,2,R3,LOAN_SERVICING
LN-508866,APP-209615,CUST-105229,Auto,Auto Standard,2024-09-22,2024-09-22,39514.38,0.0967,55,True,Vehicle,9,R5,LOAN_SERVICING
LN-509761,APP-210589,CUST-100390,Auto,Auto Standard,2024-09-22,2024-09-22,21133.63,0.0554,59,True,Vehicle,6,R3,LOAN_SERVICING
