application_id,customer_id,loan_type,requested_amount,risk_band_code_at_decision,application_date,decision,decision_date,source_system
APP-201512,CUST-103383,Auto,35426.18,R6,2024-05-02,Approved,2024-05-05,RISK_ENGINE
APP-202445,CUST-103736,Personal,11197.16,R4,2024-05-02,Approved,2024-05-06,RISK_ENGINE
APP-203293,CUST-105247,Auto,50088.73,R5,2024-05-02,Approved,2024-05-06,RISK_ENGINE
APP-203659,CUST-104731,Personal,31191.9,R6,2024-05-02,Approved,2024-05-03,RISK_ENGINE
APP-204065,CUST-101502,Auto,36375.32,R2,2024-05-02,Approved,2024-05-03,RISK_ENGINE
APP-205556,CUST-101865,Auto,38551.86,R3,2024-05-02,Approved,2024-05-05,RISK_ENGINE
APP-206216,CUST-102325,Auto,17654.03,R6,2024-05-02,Approved,2024-05-03,RISK_ENGINE
APP-206316,CUST-103222,HELOC,38025.82,R6,2024-05-02,Approved,2024-05-03,RISK_ENGINE
APP-206723,CUST-103943,Credit Card,23264.85,R2,2024-05-02,Approved,2024-05-03,RISK_ENGINE
APP-207104,CUST-106286,Auto,42305.74,R1,2024-05-02,Approved,2024-05-05,RISK_ENGINE
APP-208019,CUST-101252,Personal,5693.27,R3,2024-05-02,Approved,2024-05-03,RISK_ENGINE
APP-209084,CUST-100200,Credit Card,5743.02,R3,2024-05-02,Approved,2024-05-06,RISK_ENGINE
APP-209198,CUST-102347,Auto,15308.87,R2,2024-05-02,Approved,2024-05-03,RISK_ENGINE
APP-210835,CUST-104692,Auto,44644.39,R5,2024-05-02,Approved,2024-05-06,RISK_ENGINE
