ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700654,LN-503227,CUST-103420,CTC-60006287,COL-1074,2025-04-06,2025-04-19,322.85,Partial,92.14,2025-04-19
PTP-700678,LN-503852,CUST-101904,CTC-60006527,COL-1065,2025-04-06,2025-04-12,258.57,Partial,102.3,2025-04-12
PTP-700680,LN-503873,CUST-107861,CTC-60006539,COL-1031,2025-04-06,2025-04-19,444.35,Kept,444.35,2025-04-18
PTP-700682,LN-503890,CUST-101034,CTC-60006559,COL-1007,2025-04-06,2025-04-10,267.16,Partial,86.73,2025-04-10
PTP-700822,LN-508013,CUST-101700,CTC-60008029,COL-1073,2025-04-06,2025-04-10,380.12,Kept,380.12,2025-04-06
PTP-701238,LN-500739,CUST-102269,CTC-60012162,COL-1084,2025-04-06,2025-04-09,566.13,Kept,566.13,2025-04-08
PTP-701342,LN-502484,CUST-102622,CTC-60013114,COL-1091,2025-04-06,2025-04-11,309.75,Kept,309.75,2025-04-10
PTP-701479,LN-504693,CUST-103728,CTC-60014480,COL-1108,2025-04-06,2025-04-09,1037.25,Kept,1037.25,2025-04-07
PTP-701721,LN-508394,CUST-106153,CTC-60016848,COL-1091,2025-04-06,2025-04-15,310.41,Kept,310.41,2025-04-16
PTP-701752,LN-508944,CUST-101070,CTC-60017123,COL-1092,2025-04-06,2025-04-09,1678.9,Kept,1678.9,2025-04-06
