ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700110,LN-502111,CUST-103951,CTC-60001078,COL-1100,2025-06-01,2025-06-15,73.92,Kept,73.92,2025-06-01
PTP-700118,LN-502336,CUST-105891,CTC-60001172,COL-1090,2025-06-01,2025-06-03,84.9,Kept,84.9,2025-06-04
PTP-700192,LN-503698,CUST-101843,CTC-60001879,COL-1062,2025-06-01,2025-06-05,50.74,Kept,50.74,2025-06-02
PTP-700365,LN-506946,CUST-106264,CTC-60003523,COL-1019,2025-06-01,2025-06-06,122.08,Kept,122.08,2025-06-08
PTP-700503,LN-509580,CUST-107104,CTC-60004799,COL-1000,2025-06-01,2025-06-08,50.0,Kept,50.0,2025-06-04
PTP-700681,LN-503879,CUST-106126,CTC-60006544,COL-1105,2025-06-01,2025-06-07,196.67,Kept,196.67,2025-06-09
PTP-700915,LN-500323,CUST-107608,CTC-60008958,COL-1107,2025-06-01,2025-06-08,536.93,Kept,536.93,2025-06-05
PTP-700919,LN-500339,CUST-103578,CTC-60008977,COL-1029,2025-06-01,2025-06-14,279.64,Partial,129.08,2025-06-14
PTP-700940,LN-501384,CUST-106937,CTC-60009223,COL-1117,2025-06-01,2025-06-11,252.91,Partial,149.69,2025-06-11
PTP-701086,LN-505913,CUST-101800,CTC-60010658,COL-1091,2025-06-01,2025-06-10,232.98,Kept,232.98,2025-06-01
PTP-701142,LN-508061,CUST-101752,CTC-60011215,COL-1029,2025-06-01,2025-06-04,612.29,Kept,612.29,2025-06-02
PTP-701208,LN-500019,CUST-105349,CTC-60011880,COL-1088,2025-06-01,2025-06-08,385.45,Kept,385.45,2025-06-07
PTP-701308,LN-501869,CUST-100950,CTC-60012799,COL-1093,2025-06-01,2025-06-11,808.86,Kept,808.86,2025-06-04
PTP-701345,LN-502519,CUST-102696,CTC-60013157,COL-1055,2025-06-01,2025-06-13,409.95,Kept,409.95,2025-06-05
PTP-701696,LN-508103,CUST-104940,CTC-60016564,COL-1011,2025-06-01,2025-06-04,1062.28,Kept,1062.28,2025-06-04
PTP-701708,LN-508252,CUST-107583,CTC-60016732,COL-1057,2025-06-01,2025-06-08,1376.09,Partial,614.66,2025-06-08
PTP-701805,LN-509690,CUST-106474,CTC-60017583,COL-1097,2025-06-01,2025-06-11,1234.61,Kept,1234.61,2025-06-02
