application_id,customer_id,loan_type,requested_amount,risk_band_code_at_decision,application_date,decision,decision_date,source_system
APP-201430,CUST-105388,HELOC,68297.29,R3,2025-01-31,Approved,2025-02-01,RISK_ENGINE
APP-202400,CUST-103042,Credit Card,8445.28,R5,2025-01-31,Approved,2025-02-04,RISK_ENGINE
APP-202871,CUST-104918,Mortgage,400167.57,R3,2025-01-31,Approved,2025-02-02,RISK_ENGINE
APP-203195,CUST-106991,Auto,44431.82,R6,2025-01-31,Approved,2025-02-04,RISK_ENGINE
APP-203566,CUST-107697,Personal,25329.63,R5,2025-01-31,Approved,2025-02-03,RISK_ENGINE
APP-204007,CUST-103159,Auto,11595.69,R4,2025-01-31,Approved,2025-02-03,RISK_ENGINE
APP-204075,CUST-102057,Personal,15083.32,R3,2025-01-31,Approved,2025-02-02,RISK_ENGINE
APP-204089,CUST-103789,Personal,27058.02,R3,2025-01-31,Approved,2025-02-02,RISK_ENGINE
APP-205033,CUST-104166,Credit Card,12361.49,R4,2025-01-31,Approved,2025-02-03,RISK_ENGINE
APP-205268,CUST-107743,HELOC,135868.47,R5,2025-01-31,Approved,2025-02-03,RISK_ENGINE
APP-205791,CUST-102232,Personal,17684.22,R6,2025-01-31,Declined,2025-02-02,RISK_ENGINE
APP-206345,CUST-102456,Auto,10128.33,R6,2025-01-31,Approved,2025-02-04,RISK_ENGINE
APP-206710,CUST-100974,Personal,14426.42,R3,2025-01-31,Approved,2025-02-04,RISK_ENGINE
APP-207716,CUST-104455,Auto,52346.6,R4,2025-01-31,Approved,2025-02-04,RISK_ENGINE
APP-208397,CUST-107030,Personal,9983.58,R3,2025-01-31,Approved,2025-02-02,RISK_ENGINE
APP-208859,CUST-101624,Auto,41855.21,R3,2025-01-31,Approved,2025-02-02,RISK_ENGINE
APP-208989,CUST-106995,Auto,25323.22,R3,2025-01-31,Approved,2025-02-04,RISK_ENGINE
APP-209499,CUST-101727,Personal,12801.6,R4,2025-01-31,Approved,2025-02-03,RISK_ENGINE
APP-209566,CUST-101495,Personal,22286.88,R1,2025-01-31,Approved,2025-02-03,RISK_ENGINE
APP-209571,CUST-107382,Personal,9169.27,R5,2025-01-31,Approved,2025-02-04,RISK_ENGINE
APP-210269,CUST-100160,Personal,27721.75,R4,2025-01-31,Approved,2025-02-01,RISK_ENGINE
APP-210324,CUST-107806,Auto,48388.1,R2,2025-01-31,Declined,2025-02-01,RISK_ENGINE
APP-210809,CUST-107802,Auto,33128.46,R2,2025-01-31,Approved,2025-02-03,RISK_ENGINE
