loan_id,application_id,primary_customer_id,loan_type,loan_sub_product,origination_date,disbursement_date,origination_amount,interest_rate,loan_term_months,is_secured_flag,collateral_type,due_day_of_month,risk_band_code,source_system
LN-500277,APP-200297,CUST-105267,Credit Card,Credit Card Standard,2024-04-11,2024-04-13,7996.91,0.1932,0,False,None,23,R2,LOAN_SERVICING
LN-500627,APP-200671,CUST-101586,Auto,Auto Standard,2024-04-11,2024-04-12,18680.51,0.0913,48,True,Vehicle,17,R3,LOAN_SERVICING
LN-502064,APP-202230,CUST-106096,Personal,Personal Standard,2024-04-11,2024-04-13,27827.72,0.1009,18,False,None,24,R2,LOAN_SERVICING
LN-502204,APP-202383,CUST-102217,Auto,Auto Standard,2024-04-11,2024-04-12,8967.11,0.085,40,True,Vehicle,14,R6,LOAN_SERVICING
LN-502215,APP-202396,CUST-101269,Personal,Personal Standard,2024-04-11,2024-04-13,19273.81,0.173,30,False,None,20,R3,LOAN_SERVICING
LN-502580,APP-202795,CUST-101539,Credit Card,Credit Card Standard,2024-04-11,2024-04-13,12507.17,0.2546,0,False,None,12,R4,LOAN_SERVICING
LN-502778,APP-203009,CUST-104225,Personal,Personal Standard,2024-04-11,2024-04-12,9015.9,0.2015,22,False,None,17,R4,LOAN_SERVICING
LN-503462,APP-203758,CUST-106358,HELOC,HELOC Standard,2024-04-11,2024-04-12,92698.91,0.0814,83,True,Real Estate,12,R5,LOAN_SERVICING
LN-503787,APP-204103,CUST-107524,Auto,Auto Standard,2024-04-11,2024-04-11,38478.79,0.0859,56,True,Vehicle,27,R4,LOAN_SERVICING
LN-504067,APP-204414,CUST-101253,Mortgage,Mortgage Standard,2024-04-11,2024-04-12,187216.34,0.0683,271,True,Real Estate,1,R4,LOAN_SERVICING
LN-505497,APP-205968,CUST-101177,Personal,Personal Standard,2024-04-11,2024-04-12,8976.53,0.1414,16,False,None,13,R3,LOAN_SERVICING
LN-505743,APP-206242,CUST-106067,Auto,Auto Standard,2024-04-11,2024-04-11,27145.75,0.0821,61,True,Vehicle,25,R1,LOAN_SERVICING
LN-505850,APP-206357,CUST-100600,Auto,Auto Standard,2024-04-11,2024-04-12,19345.48,0.0492,48,True,Vehicle,15,R5,LOAN_SERVICING
LN-505931,APP-206443,CUST-105807,Credit Card,Credit Card Standard,2024-04-11,2024-04-12,20991.89,0.1637,0,False,None,6,R5,LOAN_SERVICING
LN-506494,APP-207063,CUST-100925,Auto,Auto Standard,2024-04-11,2024-04-12,36195.38,0.1063,41,True,Vehicle,20,R2,LOAN_SERVICING
LN-507494,APP-208140,CUST-102175,Personal,Personal Standard,2024-04-11,2024-04-13,22650.67,0.0957,38,False,None,24,R5,LOAN_SERVICING
LN-507630,APP-208285,CUST-106947,Auto,Auto Standard,2024-04-11,2024-04-12,9489.87,0.0599,58,True,Vehicle,23,R6,LOAN_SERVICING
LN-508268,APP-208966,CUST-102585,Auto,Auto Standard,2024-04-11,2024-04-12,45345.66,0.0602,51,True,Vehicle,7,R3,LOAN_SERVICING
LN-509307,APP-210093,CUST-107632,Personal,Personal Standard,2024-04-11,2024-04-11,32686.77,0.1306,37,False,None,18,R5,LOAN_SERVICING
