ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700350,LN-506799,CUST-102537,CTC-60003441,COL-1044,2025-04-11,2025-04-20,72.24,Kept,72.24,2025-04-16
PTP-700496,LN-509475,CUST-105969,CTC-60004754,COL-1047,2025-04-11,2025-04-21,135.22,Kept,135.22,2025-04-20
PTP-700580,LN-501198,CUST-107003,CTC-60005504,COL-1073,2025-04-11,2025-04-24,263.17,Partial,168.46,2025-04-24
PTP-700694,LN-504144,CUST-101727,CTC-60006653,COL-1065,2025-04-11,2025-04-14,177.28,Kept,177.28,2025-04-13
PTP-700946,LN-501596,CUST-102237,CTC-60009285,COL-1036,2025-04-11,2025-04-19,599.81,Kept,599.81,2025-04-21
PTP-701070,LN-505500,CUST-100110,CTC-60010545,COL-1117,2025-04-11,2025-04-21,662.9,Broken,0.0,
PTP-701102,LN-506385,CUST-103362,CTC-60010794,COL-1062,2025-04-11,2025-04-22,429.87,Kept,429.87,2025-04-16
PTP-701489,LN-504906,CUST-107996,CTC-60014562,COL-1017,2025-04-11,2025-04-18,499.07,Kept,499.07,2025-04-12
PTP-701622,LN-507142,CUST-103211,CTC-60015856,COL-1064,2025-04-11,2025-04-20,680.44,Kept,680.44,2025-04-12
PTP-701667,LN-507868,CUST-101659,CTC-60016262,COL-1094,2025-04-11,2025-04-17,506.46,Kept,506.46,2025-04-12
PTP-701671,LN-507896,CUST-100115,CTC-60016329,COL-1108,2025-04-11,2025-04-15,1832.82,Kept,1832.82,2025-04-14
PTP-701758,LN-509063,CUST-101870,CTC-60017183,COL-1106,2025-04-11,2025-04-14,558.04,Kept,558.04,2025-04-12
