application_id,customer_id,loan_type,requested_amount,risk_band_code_at_decision,application_date,decision,decision_date,source_system
APP-200278,CUST-103454,Personal,6823.46,R4,2024-04-21,Declined,2024-04-23,RISK_ENGINE
APP-200648,CUST-100096,Auto,40650.07,R1,2024-04-21,Approved,2024-04-23,RISK_ENGINE
APP-200703,CUST-105030,Personal,3104.71,R1,2024-04-21,Declined,2024-04-25,RISK_ENGINE
APP-200814,CUST-105283,Personal,12511.11,R2,2024-04-21,Approved,2024-04-24,RISK_ENGINE
APP-200839,CUST-107867,Personal,22146.81,R5,2024-04-21,Approved,2024-04-25,RISK_ENGINE
APP-201330,CUST-103464,Personal,25801.99,R1,2024-04-21,Approved,2024-04-23,RISK_ENGINE
APP-201349,CUST-100993,Credit Card,21652.25,R5,2024-04-21,Approved,2024-04-22,RISK_ENGINE
APP-201645,CUST-100766,Credit Card,15096.47,R4,2024-04-21,Approved,2024-04-25,RISK_ENGINE
APP-203206,CUST-107758,Personal,3365.32,R2,2024-04-21,Declined,2024-04-23,RISK_ENGINE
APP-203354,CUST-105846,Personal,32083.32,R1,2024-04-21,Approved,2024-04-23,RISK_ENGINE
APP-203695,CUST-106908,Mortgage,330361.83,R2,2024-04-21,Approved,2024-04-23,RISK_ENGINE
APP-204575,CUST-106896,Credit Card,16487.69,R2,2024-04-21,Approved,2024-04-24,RISK_ENGINE
APP-204680,CUST-104989,Auto,53776.23,R2,2024-04-21,Approved,2024-04-22,RISK_ENGINE
APP-205645,CUST-102357,Auto,19611.6,R4,2024-04-21,Approved,2024-04-24,RISK_ENGINE
APP-206193,CUST-103125,Auto,50602.31,R2,2024-04-21,Approved,2024-04-23,RISK_ENGINE
APP-207413,CUST-104826,Personal,30639.75,R5,2024-04-21,Approved,2024-04-23,RISK_ENGINE
APP-208189,CUST-105385,HELOC,54078.11,R5,2024-04-21,Approved,2024-04-22,RISK_ENGINE
APP-208268,CUST-103281,Credit Card,1433.8,R3,2024-04-21,Approved,2024-04-22,RISK_ENGINE
APP-208628,CUST-102646,Personal,13530.59,R2,2024-04-21,Approved,2024-04-22,RISK_ENGINE
APP-208836,CUST-105866,Auto,52408.74,R2,2024-04-21,Approved,2024-04-24,RISK_ENGINE
APP-208960,CUST-100252,Credit Card,8790.08,R5,2024-04-21,Approved,2024-04-24,RISK_ENGINE
APP-209619,CUST-105333,Credit Card,23529.02,R2,2024-04-21,Approved,2024-04-22,RISK_ENGINE
APP-209763,CUST-100549,Credit Card,18366.03,R4,2024-04-21,Approved,2024-04-24,RISK_ENGINE
APP-209773,CUST-101042,Personal,8458.05,R3,2024-04-21,Approved,2024-04-23,RISK_ENGINE
APP-209975,CUST-100526,Auto,41336.49,R3,2024-04-21,Approved,2024-04-25,RISK_ENGINE
APP-210022,CUST-105966,Credit Card,23956.19,R3,2024-04-21,Declined,2024-04-23,RISK_ENGINE
