ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700115,LN-502284,CUST-100018,CTC-60001148,COL-1100,2025-01-03,2025-01-06,83.75,Broken,0.0,
PTP-700663,LN-503467,CUST-103357,CTC-60006384,COL-1102,2025-01-03,2025-01-05,145.21,Broken,0.0,
PTP-700707,LN-504623,CUST-100109,CTC-60006837,COL-1068,2025-01-03,2025-01-11,437.87,Kept,437.87,2025-01-08
PTP-700765,LN-506104,CUST-103276,CTC-60007353,COL-1043,2025-01-03,2025-01-06,234.4,Broken,0.0,
PTP-701301,LN-501788,CUST-100464,CTC-60012757,COL-1106,2025-01-03,2025-01-10,1033.14,Broken,0.0,
PTP-701375,LN-503210,CUST-106724,CTC-60013433,COL-1003,2025-01-03,2025-01-14,503.56,Kept,503.56,2025-01-05
PTP-701582,LN-506525,CUST-104177,CTC-60015457,COL-1022,2025-01-03,2025-01-16,542.58,Broken,0.0,
PTP-701584,LN-506575,CUST-104769,CTC-60015459,COL-1006,2025-01-03,2025-01-15,564.46,Kept,564.46,2025-01-13
PTP-701747,LN-508944,CUST-101070,CTC-60017096,COL-1075,2025-01-03,2025-01-12,755.52,Kept,755.52,2025-01-06
PTP-701839,LN-506104,CUST-103276,CTC-60007353,COL-1043,2025-01-03,2025-01-16,482.44,Kept,482.44,2025-01-18
