payment_id,loan_id,customer_id,payment_date,payment_amount,scheduled_amount,payment_type,payment_method,payment_status,is_reversal_flag,nsf_flag,original_payment_id,effective_date,ingestion_date,is_late_arrival,is_corrupt_record
PMT-9014891,LN-506360,CUST-100124,2025-03-04,996.06,996.06,Scheduled,ACH,Posted,False,False,,2025-03-04,2025-03-12,True,False
PMT-9015723,LN-507936,CUST-107814,2025-03-07,120.21,120.21,Scheduled,Check,Posted,False,False,,2025-03-07,2025-03-12,True,False
PMT-9016346,LN-504356,CUST-105999,2025-03-09,661.27,661.27,Scheduled,Debit Card,Posted,False,False,,2025-03-09,2025-03-12,True,False
PMT-9016362,LN-508882,CUST-104202,2025-03-09,287.68,287.68,Scheduled,Check,Posted,False,False,,2025-03-09,2025-03-12,True,False
PMT-9016923,LN-507010,CUST-101467,2025-03-12,236.71,0.0,Extra,ACH,Posted,False,False,,2025-03-12,2025-03-12,False,False
PMT-9016924,LN-506805,CUST-101821,2025-03-12,487.24,487.24,Scheduled,Check,Posted,False,False,,2025-03-12,2025-03-12,False,False
PMT-9016925,LN-502424,CUST-101703,2025-03-12,168.36,168.36,Scheduled,Check,Posted,False,False,,2025-03-12,2025-03-12,False,False
PMT-9016926,LN-501847,CUST-105058,2025-03-12,421.68,421.68,Scheduled,ACH,Posted,False,False,,2025-03-12,2025-03-12,False,False
PMT-9016927,LN-505569,CUST-100568,2025-03-12,712.01,712.01,Scheduled,Cash,Posted,False,False,,2025-03-12,2025-03-12,False,False
PMT-9016928,LN-505739,CUST-101217,2025-03-12,3182.68,3182.68,Scheduled,Debit Card,Posted,False,False,,2025-03-12,2025-03-12,False,False
PMT-9016929,LN-502529,CUST-100378,2025-03-12,633.8,633.8,Scheduled,Check,Posted,False,False,,2025-03-12,2025-03-12,False,False
PMT-9016930,LN-506751,CUST-105371,2025-03-12,256.83,256.83,Scheduled,Debit Card,Posted,False,False,,2025-03-12,2025-03-12,False,False
PMT-9016931,LN-506956,CUST-106080,2025-03-12,260.02,260.02,Scheduled,ACH,Posted,False,False,,2025-03-12,2025-03-12,False,False
PMT-9016932,LN-501881,CUST-104091,2025-03-12,226.74,226.74,Scheduled,Check,Posted,False,False,,2025-03-12,2025-03-12,False,False
PMT-9016933,LN-504430,CUST-106124,2025-03-12,1152.61,1152.61,Scheduled,ACH,Posted,False,False,,2025-03-12,2025-03-12,False,False
PMT-9016934,LN-508310,CUST-105522,2025-03-12,881.77,881.77,Scheduled,ACH,Posted,False,False,,2025-03-12,2025-03-12,False,False
PMT-9016935,LN-506129,CUST-107507,2025-03-12,411.99,411.99,Scheduled,ACH,Posted,False,False,,2025-03-12,2025-03-12,False,False
