loan_id,customer_id,snapshot_date,bucket_index,dpd,restructured_flag,fraud_flag,outstanding_balance,delinquency_bucket,loan_purpose_code
LN-500000,CUST-107530,2025-03-15,0,0,False,False,34219.84000000001,Current,DEBT_CONSOLIDATION
LN-500001,CUST-104707,2025-03-15,0,0,False,False,13271.937500000004,Current,DEBT_CONSOLIDATION
LN-500004,CUST-105507,2025-03-15,0,0,False,False,18647.7625,Current,DEBT_CONSOLIDATION
LN-500006,CUST-104241,2025-03-15,0,0,False,False,16991.052500000005,Current,DEBT_CONSOLIDATION
LN-500009,CUST-104996,2025-03-15,0,0,False,False,40957.72499999999,Current,DEBT_CONSOLIDATION
LN-500010,CUST-103092,2025-03-15,1,24,False,False,11221.699999999999,1-29,DEBT_CONSOLIDATION
LN-500011,CUST-107344,2025-03-15,0,0,False,False,26999.477500000008,Current,DEBT_CONSOLIDATION
LN-500012,CUST-102210,2025-03-15,0,0,False,False,3735.1699999999996,Current,DEBT_CONSOLIDATION
LN-500013,CUST-104867,2025-03-15,0,0,False,False,5417.44,Current,DEBT_CONSOLIDATION
LN-500014,CUST-107938,2025-03-15,0,0,False,False,5220.170000000005,Current,DEBT_CONSOLIDATION
LN-500015,CUST-105329,2025-03-15,0,0,False,False,11328.814999999995,Current,DEBT_CONSOLIDATION
LN-500016,CUST-103631,2025-03-15,0,0,False,False,8304.220000000003,Current,DEBT_CONSOLIDATION
LN-500019,CUST-105349,2025-03-15,2,34,False,False,5310.782500000001,30-59,DEBT_CONSOLIDATION
LN-500021,CUST-100216,2025-03-15,0,0,False,False,9465.714999999997,Current,DEBT_CONSOLIDATION
LN-500022,CUST-102541,2025-03-15,0,0,False,False,11571.544999999995,Current,DEBT_CONSOLIDATION
