ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700138,LN-502725,CUST-103462,CTC-60001396,COL-1025,2025-04-15,2025-04-23,74.34,Kept,74.34,2025-04-20
PTP-700215,LN-504251,CUST-101497,CTC-60002166,COL-1111,2025-04-15,2025-04-26,216.75,Kept,216.75,2025-04-18
PTP-700236,LN-504673,CUST-102047,CTC-60002369,COL-1078,2025-04-15,2025-04-22,164.52,Partial,101.89,2025-04-22
PTP-700555,LN-500428,CUST-104328,CTC-60005252,COL-1080,2025-04-15,2025-04-26,271.04,Partial,132.93,2025-04-26
PTP-701036,LN-504315,CUST-106687,CTC-60010194,COL-1085,2025-04-15,2025-04-29,478.39,Kept,478.39,2025-04-28
PTP-701104,LN-506508,CUST-105863,CTC-60010812,COL-1026,2025-04-15,2025-04-29,660.56,Kept,660.56,2025-04-30
PTP-701203,LN-509925,CUST-103837,CTC-60011826,COL-1110,2025-04-15,2025-04-17,700.27,Kept,700.27,2025-04-18
PTP-701258,LN-500990,CUST-103717,CTC-60012291,COL-1109,2025-04-15,2025-04-23,963.56,Partial,219.13,2025-04-23
PTP-701413,LN-503764,CUST-103001,CTC-60013873,COL-1093,2025-04-15,2025-04-25,923.45,Broken,0.0,
PTP-701728,LN-508537,CUST-106411,CTC-60016920,COL-1039,2025-04-15,2025-04-23,496.05,Kept,496.05,2025-04-24
PTP-701827,LN-506987,CUST-102595,CTC-60017801,COL-1071,2025-04-15,2025-04-27,665.35,Kept,665.35,2025-04-20
