ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700122,LN-502452,CUST-103937,CTC-60001236,COL-1111,2025-02-15,2025-02-19,50.0,Kept,50.0,2025-02-19
PTP-700135,LN-502676,CUST-100793,CTC-60001366,COL-1100,2025-02-15,2025-02-19,50.0,Partial,10.26,2025-02-19
PTP-700259,LN-505029,CUST-107596,CTC-60002571,COL-1053,2025-02-15,2025-02-23,55.86,Kept,55.86,2025-02-19
PTP-700421,LN-508129,CUST-106938,CTC-60004104,COL-1010,2025-02-15,2025-02-21,91.03,Kept,91.03,2025-02-15
PTP-700432,LN-508216,CUST-107860,CTC-60004147,COL-1010,2025-02-15,2025-02-27,74.59,Kept,74.59,2025-02-27
PTP-700448,LN-508703,CUST-104220,CTC-60004341,COL-1019,2025-02-15,2025-02-17,138.77,Kept,138.77,2025-02-17
PTP-700510,LN-509723,CUST-106689,CTC-60004876,COL-1111,2025-02-15,2025-02-18,115.51,Broken,0.0,
PTP-701042,LN-504487,CUST-104452,CTC-60010240,COL-1005,2025-02-15,2025-02-21,410.76,Broken,0.0,
PTP-701105,LN-506524,CUST-105779,CTC-60010817,COL-1058,2025-02-15,2025-02-24,695.74,Partial,278.26,2025-02-24
PTP-701239,LN-500758,CUST-104498,CTC-60012177,COL-1003,2025-02-15,2025-02-18,541.6,Broken,0.0,
