ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700061,LN-500941,CUST-101535,CTC-60000544,COL-1010,2025-02-04,2025-02-13,239.39,Kept,239.39,2025-02-04
PTP-700080,LN-501548,CUST-104164,CTC-60000807,COL-1053,2025-02-04,2025-02-06,134.74,Kept,134.74,2025-02-07
PTP-700121,LN-502432,CUST-107394,CTC-60001229,COL-1100,2025-02-04,2025-02-06,85.74,Partial,35.74,2025-02-06
PTP-700134,LN-502668,CUST-106443,CTC-60001359,COL-1076,2025-02-04,2025-02-14,91.49,Broken,0.0,
PTP-700238,LN-504691,CUST-102605,CTC-60002380,COL-1079,2025-02-04,2025-02-09,80.75,Broken,0.0,
PTP-700388,LN-507547,CUST-104793,CTC-60003811,COL-1078,2025-02-04,2025-02-07,50.0,Kept,50.0,2025-02-07
PTP-700557,LN-500467,CUST-105623,CTC-60005274,COL-1069,2025-02-04,2025-02-08,113.36,Kept,113.36,2025-02-05
PTP-700668,LN-503651,CUST-100319,CTC-60006446,COL-1102,2025-02-04,2025-02-17,370.43,Broken,0.0,
PTP-700884,LN-509544,CUST-100344,CTC-60008597,COL-1089,2025-02-04,2025-02-18,290.84,Kept,290.84,2025-02-17
PTP-701325,LN-502262,CUST-102854,CTC-60012988,COL-1075,2025-02-04,2025-02-07,555.88,Broken,0.0,
PTP-701410,LN-503764,CUST-103001,CTC-60013848,COL-1083,2025-02-04,2025-02-14,367.29,Broken,0.0,
PTP-701500,LN-504922,CUST-107446,CTC-60014609,COL-1118,2025-02-04,2025-02-14,910.04,Kept,910.04,2025-02-12
PTP-701540,LN-505750,CUST-102299,CTC-60014993,COL-1075,2025-02-04,2025-02-07,467.25,Kept,467.25,2025-02-07
PTP-701566,LN-506262,CUST-103639,CTC-60015319,COL-1106,2025-02-04,2025-02-11,1024.88,Partial,440.34,2025-02-11
PTP-701707,LN-508252,CUST-107583,CTC-60016701,COL-1109,2025-02-04,2025-02-15,599.86,Kept,599.86,2025-02-09
