ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700055,LN-500885,CUST-102697,CTC-60000490,COL-1111,2025-06-07,2025-06-21,50.0,Broken,0.0,
PTP-700139,LN-502738,CUST-107901,CTC-60001399,COL-1028,2025-06-07,2025-06-14,52.23,Kept,52.23,2025-06-09
PTP-700188,LN-503553,CUST-105273,CTC-60001811,COL-1114,2025-06-07,2025-06-12,109.4,Kept,109.4,2025-06-11
PTP-700209,LN-504050,CUST-101687,CTC-60002057,COL-1028,2025-06-07,2025-06-09,66.53,Kept,66.53,2025-06-08
PTP-700284,LN-505462,CUST-105722,CTC-60002799,COL-1100,2025-06-07,2025-06-18,137.5,Kept,137.5,2025-06-15
PTP-700337,LN-506487,CUST-102116,CTC-60003268,COL-1089,2025-06-07,2025-06-13,89.19,Kept,89.19,2025-06-11
PTP-700342,LN-506589,CUST-100026,CTC-60003330,COL-1073,2025-06-07,2025-06-20,193.32,Kept,193.32,2025-06-12
PTP-700380,LN-507295,CUST-105456,CTC-60003709,COL-1020,2025-06-07,2025-06-18,161.01,Kept,161.01,2025-06-08
PTP-700539,LN-500141,CUST-102791,CTC-60005118,COL-1054,2025-06-07,2025-06-19,144.7,Kept,144.7,2025-06-16
PTP-700639,LN-502826,CUST-101352,CTC-60006164,COL-1013,2025-06-07,2025-06-18,268.72,Kept,268.72,2025-06-19
PTP-700656,LN-503238,CUST-104532,CTC-60006300,COL-1008,2025-06-07,2025-06-14,151.04,Kept,151.04,2025-06-08
PTP-700794,LN-507230,CUST-101047,CTC-60007700,COL-1018,2025-06-07,2025-06-21,206.13,Kept,206.13,2025-06-17
PTP-701081,LN-505874,CUST-103422,CTC-60010634,COL-1095,2025-06-07,2025-06-13,348.9,Kept,348.9,2025-06-12
PTP-701216,LN-500156,CUST-106597,CTC-60011946,COL-1075,2025-06-07,2025-06-14,565.48,Broken,0.0,
PTP-701288,LN-501590,CUST-101716,CTC-60012622,COL-1106,2025-06-07,2025-06-21,1215.61,Kept,1215.61,2025-06-16
PTP-701734,LN-508693,CUST-103974,CTC-60016973,COL-1039,2025-06-07,2025-06-11,972.87,Broken,0.0,
PTP-701736,LN-508699,CUST-106993,CTC-60016982,COL-1092,2025-06-07,2025-06-12,1003.86,Partial,634.7,2025-06-12
PTP-701783,LN-509564,CUST-102596,CTC-60017416,COL-1005,2025-06-07,2025-06-20,363.39,Broken,0.0,
