ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700099,LN-501851,CUST-106547,CTC-60000965,COL-1088,2025-02-02,2025-02-13,55.41,Kept,55.41,2025-02-09
PTP-700149,LN-502934,CUST-105236,CTC-60001499,COL-1010,2025-02-02,2025-02-15,161.24,Kept,161.24,2025-02-17
PTP-700219,LN-504315,CUST-106687,CTC-60002196,COL-1100,2025-02-02,2025-02-12,50.0,Broken,0.0,
PTP-700341,LN-506560,CUST-105745,CTC-60003315,COL-1004,2025-02-02,2025-02-08,105.87,Kept,105.87,2025-02-04
PTP-700344,LN-506645,CUST-101283,CTC-60003342,COL-1079,2025-02-02,2025-02-09,50.0,Kept,50.0,2025-02-10
PTP-700447,LN-508703,CUST-104220,CTC-60004339,COL-1079,2025-02-02,2025-02-05,81.59,Kept,81.59,2025-02-06
PTP-700624,LN-502349,CUST-102894,CTC-60005960,COL-1072,2025-02-02,2025-02-05,452.11,Kept,452.11,2025-02-06
PTP-701077,LN-505750,CUST-102299,CTC-60010601,COL-1036,2025-02-02,2025-02-11,565.98,Kept,565.98,2025-02-02
PTP-701439,LN-504093,CUST-103028,CTC-60014079,COL-1083,2025-02-02,2025-02-11,909.1,Broken,0.0,
PTP-701446,LN-504148,CUST-101069,CTC-60014129,COL-1017,2025-02-02,2025-02-04,785.39,Kept,785.39,2025-02-02
PTP-701753,LN-509050,CUST-103102,CTC-60017142,COL-1083,2025-02-02,2025-02-04,964.99,Kept,964.99,2025-02-05
