application_id,customer_id,loan_type,requested_amount,risk_band_code_at_decision,application_date,decision,decision_date,source_system
APP-200216,CUST-102447,Auto,19641.28,R6,2025-04-14,Approved,2025-04-17,RISK_ENGINE
APP-201962,CUST-105819,Personal,27233.58,R3,2025-04-14,Approved,2025-04-17,RISK_ENGINE
APP-202304,CUST-100247,Auto,16408.29,R2,2025-04-14,Approved,2025-04-17,RISK_ENGINE
APP-203894,CUST-102715,Credit Card,24335.13,R5,2025-04-14,Approved,2025-04-15,RISK_ENGINE
APP-203902,CUST-101400,Credit Card,21916.33,R2,2025-04-14,Approved,2025-04-17,RISK_ENGINE
APP-203989,CUST-101139,Personal,7582.42,R2,2025-04-14,Approved,2025-04-15,RISK_ENGINE
APP-204840,CUST-100761,Credit Card,1066.1,R1,2025-04-14,Declined,2025-04-18,RISK_ENGINE
APP-205478,CUST-100312,Personal,9871.27,R1,2025-04-14,Approved,2025-04-17,RISK_ENGINE
APP-205554,CUST-101284,Credit Card,13190.41,R5,2025-04-14,Approved,2025-04-16,RISK_ENGINE
APP-205906,CUST-102992,Personal,24734.2,R4,2025-04-14,Approved,2025-04-15,RISK_ENGINE
APP-206519,CUST-105802,Personal,26095.41,R2,2025-04-14,Approved,2025-04-16,RISK_ENGINE
APP-206550,CUST-106145,Auto,41714.72,R4,2025-04-14,Approved,2025-04-18,RISK_ENGINE
APP-207018,CUST-102822,Credit Card,8837.17,R4,2025-04-14,Approved,2025-04-17,RISK_ENGINE
APP-207050,CUST-106253,Auto,50803.37,R3,2025-04-14,Approved,2025-04-15,RISK_ENGINE
APP-207929,CUST-106590,Auto,25697.08,R4,2025-04-14,Declined,2025-04-18,RISK_ENGINE
APP-207982,CUST-105945,Credit Card,8482.4,R4,2025-04-14,Approved,2025-04-17,RISK_ENGINE
APP-208153,CUST-106791,HELOC,88668.8,R2,2025-04-14,Approved,2025-04-18,RISK_ENGINE
APP-209305,CUST-104218,Auto,32447.44,R7,2025-04-14,Approved,2025-04-17,RISK_ENGINE
APP-210646,CUST-100322,Auto,17000.57,R6,2025-04-14,Declined,2025-04-18,RISK_ENGINE
APP-210773,CUST-101418,Personal,20227.68,R2,2025-04-14,Approved,2025-04-15,RISK_ENGINE
