loan_id,application_id,primary_customer_id,loan_type,loan_sub_product,origination_date,disbursement_date,origination_amount,interest_rate,loan_term_months,is_secured_flag,collateral_type,due_day_of_month,risk_band_code,source_system
LN-500085,APP-200091,CUST-105258,Mortgage,Mortgage Standard,2024-01-17,2024-01-18,129575.32,0.0672,329,True,Real Estate,14,R4,LOAN_SERVICING
LN-500165,APP-200175,CUST-106950,Credit Card,Credit Card Standard,2024-01-17,2024-01-19,24505.31,0.1659,0,False,None,3,R4,LOAN_SERVICING
LN-500571,APP-200608,CUST-103995,Mortgage,Mortgage Standard,2024-01-17,2024-01-17,290984.39,0.0744,200,True,Real Estate,7,R4,LOAN_SERVICING
LN-500577,APP-200614,CUST-102455,Credit Card,Credit Card Standard,2024-01-17,2024-01-17,2136.02,0.1516,0,False,None,4,R2,LOAN_SERVICING
LN-500827,APP-200888,CUST-107557,Personal,Personal Standard,2024-01-17,2024-01-18,21173.31,0.1521,19,False,None,25,R4,LOAN_SERVICING
LN-501757,APP-201901,CUST-106446,Auto,Auto Standard,2024-01-17,2024-01-17,25800.26,0.1082,56,True,Vehicle,27,R1,LOAN_SERVICING
LN-501944,APP-202101,CUST-104233,Personal,Personal Standard,2024-01-17,2024-01-19,20894.21,0.2058,47,False,None,15,R6,LOAN_SERVICING
LN-502547,APP-202760,CUST-104472,HELOC,HELOC Standard,2024-01-17,2024-01-17,51851.86,0.0717,94,True,Real Estate,27,R4,LOAN_SERVICING
LN-503059,APP-203310,CUST-101522,Mortgage,Mortgage Standard,2024-01-17,2024-01-18,436214.43,0.0747,234,True,Real Estate,7,R3,LOAN_SERVICING
LN-504052,APP-204396,CUST-106441,Personal,Personal Standard,2024-01-17,2024-01-17,25318.09,0.1834,25,False,None,26,R2,LOAN_SERVICING
LN-504445,APP-204816,CUST-104135,HELOC,HELOC Standard,2024-01-17,2024-01-19,118501.25,0.0937,80,True,Real Estate,12,R5,LOAN_SERVICING
LN-504851,APP-205258,CUST-103920,Credit Card,Credit Card Standard,2024-01-17,2024-01-18,9616.53,0.1707,0,False,None,3,R3,LOAN_SERVICING
LN-505043,APP-205480,CUST-103929,Personal,Personal Standard,2024-01-17,2024-01-19,29905.79,0.1529,24,False,None,22,R3,LOAN_SERVICING
LN-505381,APP-205847,CUST-103600,Auto,Auto Standard,2024-01-17,2024-01-18,36025.24,0.0782,42,True,Vehicle,11,R4,LOAN_SERVICING
LN-505781,APP-206282,CUST-106919,Personal,Personal Standard,2024-01-17,2024-01-18,12520.25,0.151,25,False,None,17,R4,LOAN_SERVICING
LN-505933,APP-206445,CUST-100779,Auto,Auto Standard,2024-01-17,2024-01-17,10283.96,0.0693,61,True,Vehicle,16,R5,LOAN_SERVICING
LN-506211,APP-206747,CUST-106011,Auto,Auto Standard,2024-01-17,2024-01-18,21128.87,0.0871,65,True,Vehicle,16,R5,LOAN_SERVICING
LN-506580,APP-207152,CUST-103998,Credit Card,Credit Card Standard,2024-01-17,2024-01-19,22851.49,0.2418,0,False,None,4,R6,LOAN_SERVICING
LN-506922,APP-207515,CUST-100736,Personal,Personal Standard,2024-01-17,2024-01-18,3582.96,0.0866,51,False,None,18,R4,LOAN_SERVICING
LN-508205,APP-208899,CUST-100423,Personal,Personal Standard,2024-01-17,2024-01-17,8334.2,0.1167,12,False,None,8,R4,LOAN_SERVICING
LN-508348,APP-209055,CUST-102407,Credit Card,Credit Card Standard,2024-01-17,2024-01-17,13244.38,0.2257,0,False,None,1,R4,LOAN_SERVICING
LN-508420,APP-209135,CUST-101538,Credit Card,Credit Card Standard,2024-01-17,2024-01-19,12041.81,0.1872,0,False,None,2,R1,LOAN_SERVICING
LN-508962,APP-209717,CUST-107643,Auto,Auto Standard,2024-01-17,2024-01-18,17163.87,0.0942,67,True,Vehicle,15,R6,LOAN_SERVICING
LN-509064,APP-209830,CUST-107696,Personal,Personal Standard,2024-01-17,2024-01-18,30571.51,0.2068,46,False,None,11,R4,LOAN_SERVICING
LN-509338,APP-210125,CUST-104913,Auto,Auto Standard,2024-01-17,2024-01-19,43300.16,0.0533,53,True,Vehicle,3,R5,LOAN_SERVICING
