ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700012,LN-500192,CUST-103371,CTC-60000100,COL-1004,2025-04-18,2025-04-30,167.25,Kept,167.25,2025-04-23
PTP-700070,LN-501304,CUST-103636,CTC-60000685,COL-1044,2025-04-18,2025-04-29,50.0,Broken,0.0,
PTP-700267,LN-505150,CUST-105684,CTC-60002628,COL-1047,2025-04-18,2025-04-29,50.0,Partial,30.95,2025-04-29
PTP-700463,LN-508880,CUST-100414,CTC-60004460,COL-1076,2025-04-18,2025-04-29,50.0,Kept,50.0,2025-04-28
PTP-700528,LN-510000,CUST-101398,CTC-60005067,COL-1015,2025-04-18,2025-04-29,60.74,Broken,0.0,
PTP-700588,LN-501397,CUST-100176,CTC-60005598,COL-1024,2025-04-18,2025-04-20,261.84,Partial,104.77,2025-04-20
PTP-700783,LN-506806,CUST-105913,CTC-60007546,COL-1054,2025-04-18,2025-04-27,146.36,Kept,146.36,2025-04-26
PTP-700791,LN-507167,CUST-107774,CTC-60007677,COL-1028,2025-04-18,2025-04-22,168.73,Kept,168.73,2025-04-23
PTP-700931,LN-500799,CUST-103561,CTC-60009088,COL-1049,2025-04-18,2025-04-20,713.97,Kept,713.97,2025-04-20
PTP-700947,LN-501596,CUST-102237,CTC-60009287,COL-1062,2025-04-18,2025-04-21,472.0,Kept,472.0,2025-04-19
PTP-701450,LN-504182,CUST-105755,CTC-60014161,COL-1093,2025-04-18,2025-05-02,463.65,Broken,0.0,
PTP-701597,LN-506638,CUST-105308,CTC-60015554,COL-1113,2025-04-18,2025-04-28,1071.5,Broken,0.0,
PTP-701697,LN-508108,CUST-100114,CTC-60016567,COL-1075,2025-04-18,2025-04-20,615.38,Kept,615.38,2025-04-21
