ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700168,LN-503335,CUST-104081,CTC-60001672,COL-1047,2025-02-14,2025-02-28,126.71,Kept,126.71,2025-02-21
PTP-700373,LN-507153,CUST-106219,CTC-60003624,COL-1019,2025-02-14,2025-02-25,190.73,Kept,190.73,2025-02-18
PTP-700634,LN-502515,CUST-101090,CTC-60006059,COL-1007,2025-02-14,2025-02-23,256.14,Kept,256.14,2025-02-14
PTP-700715,LN-504869,CUST-104845,CTC-60006920,COL-1001,2025-02-14,2025-02-21,283.7,Kept,283.7,2025-02-17
PTP-700892,LN-509741,CUST-104242,CTC-60008693,COL-1069,2025-02-14,2025-02-19,281.1,Kept,281.1,2025-02-20
PTP-700966,LN-502034,CUST-103040,CTC-60009403,COL-1117,2025-02-14,2025-02-24,369.58,Kept,369.58,2025-02-14
PTP-701073,LN-505644,CUST-107805,CTC-60010567,COL-1026,2025-02-14,2025-02-22,490.99,Kept,490.99,2025-02-23
PTP-701347,LN-502630,CUST-103846,CTC-60013207,COL-1082,2025-02-14,2025-02-22,886.82,Kept,886.82,2025-02-23
PTP-701501,LN-504922,CUST-107446,CTC-60014612,COL-1039,2025-02-14,2025-02-17,1019.88,Kept,1019.88,2025-02-15
PTP-701567,LN-506262,CUST-103639,CTC-60015324,COL-1039,2025-02-14,2025-02-23,471.41,Kept,471.41,2025-02-18
