ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700023,LN-500343,CUST-101858,CTC-60000205,COL-1100,2025-02-17,2025-02-22,90.15,Kept,90.15,2025-02-24
PTP-700322,LN-506281,CUST-100781,CTC-60003154,COL-1044,2025-02-17,2025-02-19,50.0,Kept,50.0,2025-02-18
PTP-700369,LN-507030,CUST-102544,CTC-60003552,COL-1076,2025-02-17,2025-03-03,81.21,Kept,81.21,2025-03-05
PTP-700451,LN-508744,CUST-100466,CTC-60004358,COL-1047,2025-02-17,2025-02-22,50.0,Kept,50.0,2025-02-20
PTP-700699,LN-504182,CUST-105755,CTC-60006694,COL-1066,2025-02-17,2025-02-24,142.99,Broken,0.0,
PTP-701132,LN-507795,CUST-104504,CTC-60011130,COL-1029,2025-02-17,2025-02-19,524.49,Broken,0.0,
PTP-701161,LN-508650,CUST-105512,CTC-60011428,COL-1119,2025-02-17,2025-03-01,304.35,Broken,0.0,
PTP-701189,LN-509610,CUST-106669,CTC-60011697,COL-1040,2025-02-17,2025-02-27,421.36,Kept,421.36,2025-02-18
PTP-701351,LN-502656,CUST-103938,CTC-60013224,COL-1017,2025-02-17,2025-02-21,996.89,Kept,996.89,2025-02-21
PTP-701379,LN-503210,CUST-106724,CTC-60013445,COL-1109,2025-02-17,2025-03-01,470.2,Kept,470.2,2025-02-26
PTP-701660,LN-507768,CUST-103654,CTC-60016191,COL-1022,2025-02-17,2025-02-24,372.63,Kept,372.63,2025-02-25
PTP-701681,LN-508011,CUST-100605,CTC-60016456,COL-1006,2025-02-17,2025-02-27,461.95,Kept,461.95,2025-02-26
