ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700113,LN-502199,CUST-106579,CTC-60001111,COL-1089,2025-06-26,2025-07-06,56.02,Broken,0.0,
PTP-700131,LN-502652,CUST-102426,CTC-60001344,COL-1111,2025-06-26,2025-07-04,50.0,Kept,50.0,2025-07-03
PTP-700232,LN-504610,CUST-101316,CTC-60002331,COL-1067,2025-06-26,2025-07-06,172.06,Broken,0.0,
PTP-700301,LN-505897,CUST-106071,CTC-60002972,COL-1090,2025-06-26,2025-06-28,50.0,Kept,50.0,2025-06-29
PTP-700464,LN-508887,CUST-104544,CTC-60004466,COL-1089,2025-06-26,2025-07-04,50.0,Partial,16.53,2025-07-04
PTP-700520,LN-509875,CUST-100484,CTC-60004982,COL-1100,2025-06-26,2025-07-04,93.75,Partial,21.82,2025-07-04
PTP-700581,LN-501223,CUST-105761,CTC-60005519,COL-1115,2025-06-26,2025-07-04,380.74,Partial,96.49,2025-07-04
PTP-700620,LN-502238,CUST-107925,CTC-60005932,COL-1009,2025-06-26,2025-06-28,174.33,Broken,0.0,
PTP-701101,LN-506373,CUST-101724,CTC-60010782,COL-1107,2025-06-26,2025-07-03,512.34,Broken,0.0,
PTP-701205,LN-509956,CUST-103722,CTC-60011833,COL-1029,2025-06-26,2025-07-06,498.73,Kept,498.73,2025-07-01
PTP-701324,LN-502204,CUST-102217,CTC-60012982,COL-1082,2025-06-26,2025-07-09,582.38,Broken,0.0,
PTP-701454,LN-504315,CUST-106687,CTC-60014206,COL-1097,2025-06-26,2025-07-09,782.51,Kept,782.51,2025-06-29
PTP-701603,LN-506724,CUST-102143,CTC-60015655,COL-1036,2025-06-26,2025-06-28,745.24,Broken,0.0,
