customer_id,file_date,source_updated_at,fico_score,risk_band_code,is_late_arrival,source_system
CUST-105349,2025-01-03,2025-01-10,644,R5,True,CREDIT_BUREAU
CUST-102529,2025-01-03,2025-01-10,728,R3,True,CREDIT_BUREAU
CUST-105481,2025-01-03,2025-01-10,604,R6,True,CREDIT_BUREAU
CUST-102745,2025-01-03,2025-01-10,829,R1,True,CREDIT_BUREAU
CUST-105585,2025-01-03,2025-01-10,757,R2,True,CREDIT_BUREAU
CUST-106922,2025-01-03,2025-01-10,750,R2,True,CREDIT_BUREAU
CUST-100470,2025-01-03,2025-01-10,666,R4,True,CREDIT_BUREAU
CUST-107401,2025-01-03,2025-01-10,649,R5,True,CREDIT_BUREAU
CUST-103865,2025-01-03,2025-01-10,726,R3,True,CREDIT_BUREAU
CUST-102873,2025-01-03,2025-01-10,646,R5,True,CREDIT_BUREAU
CUST-101295,2025-01-03,2025-01-10,846,R1,True,CREDIT_BUREAU
CUST-105756,2025-01-03,2025-01-10,703,R3,True,CREDIT_BUREAU
CUST-104354,2025-01-03,2025-01-10,643,R5,True,CREDIT_BUREAU
CUST-106138,2025-01-03,2025-01-10,724,R3,True,CREDIT_BUREAU
CUST-107145,2025-01-03,2025-01-10,640,R5,True,CREDIT_BUREAU
CUST-102825,2025-01-03,2025-01-10,826,R1,True,CREDIT_BUREAU
CUST-107425,2025-01-03,2025-01-10,765,R2,True,CREDIT_BUREAU
CUST-101317,2025-01-03,2025-01-10,774,R2,True,CREDIT_BUREAU
CUST-107065,2025-01-03,2025-01-10,712,R3,True,CREDIT_BUREAU
CUST-101861,2025-01-03,2025-01-10,812,R1,True,CREDIT_BUREAU
CUST-105713,2025-01-03,2025-01-10,440,R7,True,CREDIT_BUREAU
CUST-101453,2025-01-03,2025-01-10,820,R1,True,CREDIT_BUREAU
CUST-107593,2025-01-03,2025-01-10,722,R3,True,CREDIT_BUREAU
CUST-105805,2025-01-03,2025-01-10,680,R4,True,CREDIT_BUREAU
CUST-105170,2025-01-03,2025-01-10,795,R1,True,CREDIT_BUREAU
CUST-103662,2025-01-03,2025-01-10,438,R7,True,CREDIT_BUREAU
CUST-101503,2025-01-03,2025-01-10,618,R6,True,CREDIT_BUREAU
CUST-100568,2025-01-03,2025-01-10,711,R3,True,CREDIT_BUREAU
CUST-107719,2025-01-03,2025-01-10,665,R4,True,CREDIT_BUREAU
CUST-102220,2025-01-03,2025-01-10,632,R5,True,CREDIT_BUREAU
CUST-105360,2025-01-03,2025-01-10,622,R5,True,CREDIT_BUREAU
CUST-102758,2025-01-03,2025-01-10,675,R4,True,CREDIT_BUREAU
CUST-100661,2025-01-03,2025-01-10,686,R4,True,CREDIT_BUREAU
CUST-105932,2025-01-03,2025-01-10,760,R2,True,CREDIT_BUREAU
CUST-100290,2025-01-03,2025-01-10,707,R3,True,CREDIT_BUREAU
CUST-106854,2025-01-03,2025-01-10,632,R5,True,CREDIT_BUREAU
CUST-105574,2025-01-03,2025-01-10,667,R4,True,CREDIT_BUREAU
CUST-104146,2025-01-03,2025-01-10,723,R3,True,CREDIT_BUREAU
CUST-102100,2025-01-03,2025-01-10,600,R6,True,CREDIT_BUREAU
CUST-107293,2025-01-03,2025-01-10,742,R2,True,CREDIT_BUREAU
CUST-106938,2025-01-03,2025-01-10,444,R7,True,CREDIT_BUREAU
CUST-102087,2025-01-03,2025-01-10,660,R4,True,CREDIT_BUREAU
CUST-106686,2025-01-03,2025-01-10,427,R7,True,CREDIT_BUREAU
CUST-105429,2025-01-03,2025-01-10,658,R5,True,CREDIT_BUREAU
CUST-104214,2025-01-03,2025-01-10,708,R3,True,CREDIT_BUREAU
CUST-103581,2025-01-03,2025-01-10,812,R1,True,CREDIT_BUREAU
CUST-106593,2025-01-03,2025-01-10,719,R3,True,CREDIT_BUREAU
