ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700072,LN-501358,CUST-101045,CTC-60000710,COL-1067,2025-02-09,2025-02-17,69.78,Kept,69.78,2025-02-18
PTP-700585,LN-501383,CUST-106747,CTC-60005576,COL-1000,2025-02-09,2025-02-11,304.83,Kept,304.83,2025-02-11
PTP-700684,LN-503903,CUST-105706,CTC-60006566,COL-1068,2025-02-09,2025-02-14,272.87,Kept,272.87,2025-02-14
PTP-700701,LN-504424,CUST-107494,CTC-60006791,COL-1065,2025-02-09,2025-02-15,238.93,Kept,238.93,2025-02-13
PTP-701096,LN-506230,CUST-104631,CTC-60010737,COL-1051,2025-02-09,2025-02-14,476.47,Kept,476.47,2025-02-16
PTP-701123,LN-507142,CUST-103211,CTC-60010953,COL-1049,2025-02-09,2025-02-17,413.64,Partial,125.46,2025-02-17
PTP-701227,LN-500358,CUST-102187,CTC-60012019,COL-1075,2025-02-09,2025-02-21,1242.18,Kept,1242.18,2025-02-11
PTP-701389,LN-503324,CUST-100512,CTC-60013569,COL-1039,2025-02-09,2025-02-20,804.15,Kept,804.15,2025-02-20
PTP-701506,LN-505027,CUST-106535,CTC-60014712,COL-1039,2025-02-09,2025-02-14,706.93,Partial,409.4,2025-02-14
PTP-701545,LN-505801,CUST-103039,CTC-60015041,COL-1003,2025-02-09,2025-02-16,627.96,Kept,627.96,2025-02-11
PTP-701648,LN-507721,CUST-104864,CTC-60016106,COL-1084,2025-02-09,2025-02-16,1067.19,Partial,482.51,2025-02-16
