ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700074,LN-501397,CUST-100176,CTC-60000751,COL-1067,2025-04-01,2025-04-11,176.54,Kept,176.54,2025-04-08
PTP-700587,LN-501386,CUST-103690,CTC-60005586,COL-1115,2025-04-01,2025-04-07,322.84,Broken,0.0,
PTP-700623,LN-502347,CUST-100608,CTC-60005952,COL-1069,2025-04-01,2025-04-14,210.87,Kept,210.87,2025-04-03
PTP-700786,LN-506959,CUST-100577,CTC-60007616,COL-1069,2025-04-01,2025-04-05,299.84,Kept,299.84,2025-04-06
PTP-700804,LN-507541,CUST-103036,CTC-60007801,COL-1073,2025-04-01,2025-04-09,198.24,Broken,0.0,
PTP-701138,LN-507929,CUST-100155,CTC-60011179,COL-1005,2025-04-01,2025-04-11,718.98,Kept,718.98,2025-04-10
PTP-701313,LN-502034,CUST-103040,CTC-60012870,COL-1108,2025-04-01,2025-04-12,989.15,Kept,989.15,2025-04-04
PTP-701365,LN-503017,CUST-102915,CTC-60013349,COL-1006,2025-04-01,2025-04-08,380.86,Partial,240.49,2025-04-08
PTP-701371,LN-503167,CUST-100448,CTC-60013409,COL-1003,2025-04-01,2025-04-05,797.68,Kept,797.68,2025-04-07
PTP-701611,LN-506987,CUST-102595,CTC-60015737,COL-1064,2025-04-01,2025-04-03,863.44,Partial,476.82,2025-04-03
PTP-701731,LN-508542,CUST-104886,CTC-60016937,COL-1109,2025-04-01,2025-04-07,956.11,Broken,0.0,
PTP-701826,LN-502042,CUST-104923,CTC-60017795,COL-1021,2025-04-01,2025-04-12,329.17,Partial,213.99,2025-04-12
