contact_id,loan_id,customer_id,contact_date,collector_ref_id,channel_code,contact_direction,contact_outcome,is_rpc_flag,call_duration_seconds,complaint_flag,source_system,is_corrupt_record
CTC-60000039,LN-500071,CUST-103632,2025-05-16,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60000230,LN-500383,CUST-101274,2025-05-16,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60000472,LN-500847,CUST-106919,2025-05-16,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60000722,LN-501363,CUST-100833,2025-05-16,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60000904,LN-501745,CUST-101178,2025-05-16,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60001490,LN-502915,CUST-102302,2025-05-16,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60001839,LN-503621,CUST-102396,2025-05-16,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002204,LN-504326,CUST-105327,2025-05-16,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002231,LN-504369,CUST-107431,2025-05-16,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002265,LN-504426,CUST-102713,2025-05-16,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002459,LN-504824,CUST-102602,2025-05-16,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002915,LN-505826,CUST-101930,2025-05-16,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003105,LN-506155,CUST-101964,2025-05-16,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003219,LN-506409,CUST-103687,2025-05-16,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003389,LN-506712,CUST-105498,2025-05-16,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003557,LN-507035,CUST-100655,2025-05-16,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003621,LN-507147,CUST-105530,2025-05-16,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003937,LN-507819,CUST-105713,2025-05-16,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60004196,LN-508313,CUST-105193,2025-05-16,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
