contact_id,loan_id,customer_id,contact_date,collector_ref_id,channel_code,contact_direction,contact_outcome,is_rpc_flag,call_duration_seconds,complaint_flag,source_system,is_corrupt_record
CTC-60000003,LN-500006,CUST-104241,2025-05-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60000092,LN-500175,CUST-101728,2025-05-13,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60000297,LN-500512,CUST-107982,2025-05-13,,EMAIL,Outbound,Undeliverable,False,,False,COLLECTIONS_PLATFORM,False
CTC-60000482,LN-500878,CUST-106716,2025-05-13,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60001090,LN-502136,CUST-107577,2025-05-13,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60001542,LN-503014,CUST-107508,2025-05-13,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60001572,LN-503077,CUST-103931,2025-05-13,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60001817,LN-503567,CUST-103710,2025-05-13,,IVR,Outbound,Undeliverable,False,,False,COLLECTIONS_PLATFORM,False
CTC-60001903,LN-503762,CUST-105978,2025-05-13,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002065,LN-504080,CUST-102150,2025-05-13,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002440,LN-504799,CUST-107311,2025-05-13,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002477,LN-504834,CUST-103408,2025-05-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002726,LN-505345,CUST-105265,2025-05-13,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002806,LN-505481,CUST-100197,2025-05-13,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003009,LN-505952,CUST-101007,2025-05-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003121,LN-506194,CUST-103229,2025-05-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003573,LN-507056,CUST-106797,2025-05-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003579,LN-507070,CUST-106869,2025-05-13,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003678,LN-507274,CUST-103131,2025-05-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003886,LN-507699,CUST-103216,2025-05-13,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003947,LN-507837,CUST-107077,2025-05-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60004302,LN-508571,CUST-105452,2025-05-13,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60004448,LN-508865,CUST-103473,2025-05-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60004766,LN-509529,CUST-103884,2025-05-13,,SMS,Outbound,Undeliverable,False,,False,COLLECTIONS_PLATFORM,False
CTC-60004971,LN-509865,CUST-104533,2025-05-13,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60005069,LN-510004,CUST-104802,2025-05-13,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60005071,LN-510005,CUST-103042,2025-05-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60005335,LN-500713,CUST-104956,2025-05-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60006336,LN-503313,CUST-107019,2025-05-13,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60006542,LN-503879,CUST-106126,2025-05-13,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60006942,LN-504929,CUST-104453,2025-05-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60007049,LN-505272,CUST-103366,2025-05-13,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60007067,LN-505335,,2025-05-13,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,True
CTC-60007389,LN-506279,CUST-104353,2025-05-13,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60007461,LN-506601,CUST-103359,2025-05-13,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60007681,LN-507187,CUST-100039,2025-05-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60007729,LN-507309,CUST-103592,2025-05-13,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60008099,LN-508182,CUST-101550,2025-05-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60008229,LN-508549,CUST-105697,2025-05-13,,IVR,Outbound,Undeliverable,False,,False,COLLECTIONS_PLATFORM,False
CTC-60008367,LN-508910,CUST-107369,2025-05-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60008898,LN-500040,CUST-102235,2025-05-13,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60008922,LN-500156,CUST-106597,2025-05-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60009938,LN-503672,CUST-107834,2025-05-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60010002,LN-503797,CUST-100743,2025-05-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60010252,LN-504509,CUST-100221,2025-05-13,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60010961,LN-507167,CUST-107774,2025-05-13,,SMS,Outbound,Undeliverable,False,,False,COLLECTIONS_PLATFORM,False
CTC-60011681,LN-509574,CUST-103907,2025-05-13,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60011876,LN-500019,CUST-105349,2025-05-13,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
