ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700031,LN-500545,CUST-105174,CTC-60000309,COL-1011,2025-04-17,2025-04-23,124.17,Kept,124.17,2025-04-23
PTP-700646,LN-503015,CUST-100845,CTC-60006234,COL-1048,2025-04-17,2025-04-24,204.65,Kept,204.65,2025-04-22
PTP-700677,LN-503797,CUST-100743,CTC-60006505,COL-1014,2025-04-17,2025-04-25,179.69,Kept,179.69,2025-04-18
PTP-700748,LN-505841,CUST-106219,CTC-60007244,COL-1105,2025-04-17,2025-04-20,114.71,Partial,51.48,2025-04-20
PTP-700934,LN-501122,CUST-105908,CTC-60009148,COL-1096,2025-04-17,2025-04-20,522.94,Kept,522.94,2025-04-18
PTP-700963,LN-501873,CUST-104297,CTC-60009380,COL-1026,2025-04-17,2025-04-20,502.61,Broken,0.0,
PTP-701037,LN-504315,CUST-106687,CTC-60010195,COL-1086,2025-04-17,2025-04-22,388.78,Kept,388.78,2025-04-17
PTP-701362,LN-502949,CUST-106543,CTC-60013321,COL-1057,2025-04-17,2025-04-21,482.77,Kept,482.77,2025-04-17
PTP-701504,LN-505017,CUST-106099,CTC-60014677,COL-1034,2025-04-17,2025-05-01,1014.27,Kept,1014.27,2025-04-27
PTP-701509,LN-505119,CUST-102731,CTC-60014728,COL-1106,2025-04-17,2025-04-20,971.87,Kept,971.87,2025-04-20
PTP-701640,LN-507559,CUST-100595,CTC-60016033,COL-1108,2025-04-17,2025-04-25,802.33,Kept,802.33,2025-04-18
PTP-701655,LN-507737,CUST-106439,CTC-60016162,COL-1003,2025-04-17,2025-04-29,788.37,Kept,788.37,2025-04-19
PTP-701738,LN-508726,CUST-102149,CTC-60017006,COL-1118,2025-04-17,2025-04-27,822.77,Kept,822.77,2025-04-24
PTP-701788,LN-509610,CUST-106669,CTC-60017461,COL-1064,2025-04-17,2025-04-22,615.69,Kept,615.69,2025-04-20
