loan_id,application_id,primary_customer_id,loan_type,loan_sub_product,origination_date,disbursement_date,origination_amount,interest_rate,loan_term_months,is_secured_flag,collateral_type,due_day_of_month,risk_band_code,source_system
LN-500512,APP-200545,CUST-107982,Mortgage,Mortgage Standard,2024-05-15,2024-05-15,621824.61,0.0695,278,True,Real Estate,5,R5,LOAN_SERVICING
LN-500836,APP-200898,CUST-102391,Credit Card,Credit Card Standard,2024-05-15,2024-05-17,20715.35,0.1587,0,False,None,12,R3,LOAN_SERVICING
LN-501120,APP-201198,CUST-103273,HELOC,HELOC Standard,2024-05-15,2024-05-16,108357.7,0.0929,97,True,Real Estate,9,R1,LOAN_SERVICING
LN-501429,APP-201536,CUST-104593,Auto,Auto Standard,2024-05-15,2024-05-15,48929.46,0.0585,65,True,Vehicle,12,R2,LOAN_SERVICING
LN-502114,APP-202288,CUST-103446,Personal,Personal Standard,2024-05-15,2024-05-15,29114.27,0.1118,12,False,None,22,R3,LOAN_SERVICING
LN-502570,APP-202785,CUST-102234,Auto,Auto Standard,2024-05-15,2024-05-16,20471.69,0.079,63,True,Vehicle,26,R4,LOAN_SERVICING
LN-503171,APP-203437,CUST-102359,Auto,Auto Standard,2024-05-15,2024-05-15,45219.9,0.1006,43,True,Vehicle,14,R2,LOAN_SERVICING
LN-503393,APP-203680,CUST-102796,Auto,Auto Standard,2024-05-15,2024-05-16,31409.0,0.0808,63,True,Vehicle,17,R3,LOAN_SERVICING
LN-503836,APP-204159,CUST-105268,Auto,Auto Standard,2024-05-15,2024-05-16,40224.38,0.0919,71,True,Vehicle,9,R4,LOAN_SERVICING
LN-505084,APP-205524,CUST-104047,Mortgage,Mortgage Standard,2024-05-15,2024-05-15,551729.11,0.0663,189,True,Real Estate,19,R2,LOAN_SERVICING
LN-505736,APP-206235,CUST-106177,Credit Card,Credit Card Standard,2024-05-15,2024-05-15,23592.36,0.2039,0,False,None,5,R5,LOAN_SERVICING
LN-506078,APP-206602,CUST-105045,Credit Card,Credit Card Standard,2024-05-15,2024-05-17,20241.57,0.2192,0,False,None,23,R5,LOAN_SERVICING
LN-506418,APP-206981,CUST-102476,Credit Card,Credit Card Standard,2024-05-15,2024-05-16,10844.68,0.2095,0,False,None,2,R4,LOAN_SERVICING
LN-506800,APP-207386,CUST-104369,Personal,Personal Standard,2024-05-15,2024-05-16,5339.77,0.1251,28,False,None,26,R1,LOAN_SERVICING
LN-507228,APP-207845,CUST-107226,Auto,Auto Standard,2024-05-15,2024-05-17,16601.41,0.0672,65,True,Vehicle,20,R1,LOAN_SERVICING
LN-509346,APP-210134,CUST-107336,Personal,Personal Standard,2024-05-15,2024-05-16,13287.32,0.1737,42,False,None,7,R1,LOAN_SERVICING
LN-509430,APP-210225,CUST-101895,Auto,Auto Standard,2024-05-15,2024-05-15,38794.52,0.1099,44,True,Vehicle,11,R3,LOAN_SERVICING
