loan_id,application_id,primary_customer_id,loan_type,loan_sub_product,origination_date,disbursement_date,origination_amount,interest_rate,loan_term_months,is_secured_flag,collateral_type,due_day_of_month,risk_band_code,source_system
LN-500442,APP-200472,CUST-106316,Auto,Auto Standard,2024-04-09,2024-04-11,35088.12,0.0678,53,True,Vehicle,1,R4,LOAN_SERVICING
LN-500587,APP-200626,CUST-101933,Personal,Personal Standard,2024-04-09,2024-04-11,29292.5,0.2164,35,False,None,11,R1,LOAN_SERVICING
LN-500994,APP-201063,CUST-100662,Personal,Personal Standard,2024-04-09,2024-04-11,24463.24,0.2097,49,False,None,20,R5,LOAN_SERVICING
LN-501403,APP-201508,CUST-102719,Personal,Personal Standard,2024-04-09,2024-04-10,22663.83,0.1652,33,False,None,14,R2,LOAN_SERVICING
LN-501426,APP-201533,CUST-101986,Auto,Auto Standard,2024-04-09,2024-04-10,51041.35,0.0884,46,True,Vehicle,18,R5,LOAN_SERVICING
LN-503551,APP-203849,CUST-100447,Credit Card,Credit Card Standard,2024-04-09,2024-04-10,4154.29,0.2434,0,False,None,1,R6,LOAN_SERVICING
LN-503662,APP-203971,CUST-104380,Personal,Personal Standard,2024-04-09,2024-04-11,16576.07,0.1857,58,False,None,24,R2,LOAN_SERVICING
LN-503829,APP-204150,CUST-104031,Credit Card,Credit Card Standard,2024-04-09,2024-04-10,3143.59,0.2587,0,False,None,6,R5,LOAN_SERVICING
LN-503950,APP-204282,CUST-103393,Credit Card,Credit Card Standard,2024-04-09,2024-04-10,22402.37,0.2288,0,False,None,6,R3,LOAN_SERVICING
LN-504577,APP-204957,CUST-104066,Personal,Personal Standard,2024-04-09,2024-04-11,34214.64,0.2168,51,False,None,2,R5,LOAN_SERVICING
LN-505289,APP-205745,CUST-106500,Personal,Personal Standard,2024-04-09,2024-04-10,28232.77,0.2011,53,False,None,17,R6,LOAN_SERVICING
LN-505366,APP-205830,CUST-107468,Credit Card,Credit Card Standard,2024-04-09,2024-04-09,7576.48,0.1859,0,False,None,18,R3,LOAN_SERVICING
LN-507049,APP-207650,CUST-100039,Auto,Auto Standard,2024-04-09,2024-04-10,52544.67,0.098,67,True,Vehicle,10,R2,LOAN_SERVICING
LN-507229,APP-207846,CUST-102122,Auto,Auto Standard,2024-04-09,2024-04-09,22703.93,0.0476,37,True,Vehicle,23,R6,LOAN_SERVICING
LN-507332,APP-207961,CUST-102110,HELOC,HELOC Standard,2024-04-09,2024-04-10,30704.07,0.0836,83,True,Real Estate,12,R5,LOAN_SERVICING
LN-507475,APP-208120,CUST-103757,Auto,Auto Standard,2024-04-09,2024-04-11,43089.77,0.0466,72,True,Vehicle,9,R4,LOAN_SERVICING
LN-507794,APP-208458,CUST-105659,Credit Card,Credit Card Standard,2024-04-09,2024-04-09,14056.87,0.2267,0,False,None,27,R1,LOAN_SERVICING
LN-509955,APP-210800,CUST-105528,Personal,Personal Standard,2024-04-09,2024-04-09,18397.57,0.101,48,False,None,24,R4,LOAN_SERVICING
