loan_id,application_id,primary_customer_id,loan_type,loan_sub_product,origination_date,disbursement_date,origination_amount,interest_rate,loan_term_months,is_secured_flag,collateral_type,due_day_of_month,risk_band_code,source_system
LN-500254,APP-200271,CUST-102097,Auto,Auto Standard,2024-08-30,2024-08-30,53579.18,0.101,53,True,Vehicle,4,R2,LOAN_SERVICING
LN-501296,APP-201392,CUST-102985,HELOC,HELOC Standard,2024-08-30,2024-08-30,145746.85,0.0717,77,True,Real Estate,22,R2,LOAN_SERVICING
LN-501477,APP-201589,CUST-106403,Auto,Auto Standard,2024-08-30,2024-08-31,46990.18,0.0883,54,True,Vehicle,24,R3,LOAN_SERVICING
LN-502725,APP-202954,CUST-103462,Personal,Personal Standard,2024-08-30,2024-09-01,18381.55,0.21,12,False,None,5,R5,LOAN_SERVICING
LN-502730,APP-202960,CUST-101343,Personal,Personal Standard,2024-08-30,2024-09-01,13379.92,0.1261,34,False,None,9,R4,LOAN_SERVICING
LN-503061,APP-203312,CUST-104236,Auto,Auto Standard,2024-08-30,2024-08-30,36083.82,0.0526,70,True,Vehicle,20,R5,LOAN_SERVICING
LN-503571,APP-203872,CUST-104250,Personal,Personal Standard,2024-08-30,2024-08-31,27226.11,0.1273,27,False,None,25,R2,LOAN_SERVICING
LN-503852,APP-204177,CUST-101904,Auto,Auto Standard,2024-08-30,2024-08-30,21409.53,0.1049,69,True,Vehicle,26,R5,LOAN_SERVICING
LN-504346,APP-204712,CUST-107757,Credit Card,Credit Card Standard,2024-08-30,2024-08-30,17267.86,0.1593,0,False,None,15,R3,LOAN_SERVICING
LN-504379,APP-204746,CUST-107997,Credit Card,Credit Card Standard,2024-08-30,2024-08-30,20321.25,0.1651,0,False,None,25,R1,LOAN_SERVICING
LN-504595,APP-204976,CUST-100717,HELOC,HELOC Standard,2024-08-30,2024-09-01,116446.76,0.0647,146,True,Real Estate,28,R6,LOAN_SERVICING
LN-505102,APP-205545,CUST-106704,Auto,Auto Standard,2024-08-30,2024-08-31,44092.62,0.0882,57,True,Vehicle,26,R2,LOAN_SERVICING
LN-505195,APP-205646,CUST-100303,Credit Card,Credit Card Standard,2024-08-30,2024-09-01,12930.27,0.1822,0,False,None,23,R3,LOAN_SERVICING
LN-505407,APP-205875,CUST-101060,Personal,Personal Standard,2024-08-30,2024-09-01,30055.46,0.148,53,False,None,20,R4,LOAN_SERVICING
LN-505440,APP-205908,CUST-105365,Auto,Auto Standard,2024-08-30,2024-09-01,20378.35,0.0807,42,True,Vehicle,5,R5,LOAN_SERVICING
LN-505711,APP-206208,CUST-106351,Auto,Auto Standard,2024-08-30,2024-09-01,41441.84,0.0925,71,True,Vehicle,16,R3,LOAN_SERVICING
LN-505727,APP-206226,CUST-105782,Personal,Personal Standard,2024-08-30,2024-08-31,7669.31,0.188,40,False,None,7,R3,LOAN_SERVICING
LN-505789,APP-206290,CUST-100050,Credit Card,Credit Card Standard,2024-08-30,2024-08-31,9978.97,0.2491,0,False,None,2,R4,LOAN_SERVICING
LN-505790,APP-206291,CUST-101417,Auto,Auto Standard,2024-08-30,2024-08-31,13133.64,0.0742,64,True,Vehicle,13,R4,LOAN_SERVICING
LN-506027,APP-206548,CUST-101228,HELOC,HELOC Standard,2024-08-30,2024-08-30,43736.02,0.0807,124,True,Real Estate,22,R2,LOAN_SERVICING
LN-506124,APP-206652,CUST-103197,Auto,Auto Standard,2024-08-30,2024-09-01,24529.86,0.0842,58,True,Vehicle,27,R1,LOAN_SERVICING
LN-506272,APP-206814,CUST-106967,Auto,Auto Standard,2024-08-30,2024-09-01,30999.29,0.0661,39,True,Vehicle,16,R1,LOAN_SERVICING
LN-506416,APP-206979,CUST-102619,Auto,Auto Standard,2024-08-30,2024-08-30,43790.97,0.0937,61,True,Vehicle,19,R3,LOAN_SERVICING
LN-506518,APP-207087,CUST-100816,Auto,Auto Standard,2024-08-30,2024-08-31,49887.79,0.0458,54,True,Vehicle,23,R3,LOAN_SERVICING
LN-507153,APP-207767,CUST-106219,Personal,Personal Standard,2024-08-30,2024-08-30,31253.08,0.1204,26,False,None,24,R4,LOAN_SERVICING
LN-508582,APP-209313,CUST-100148,HELOC,HELOC Standard,2024-08-30,2024-09-01,114369.16,0.0871,141,True,Real Estate,12,R3,LOAN_SERVICING
LN-508730,APP-209472,CUST-100682,Credit Card,Credit Card Standard,2024-08-30,2024-09-01,14301.5,0.2242,0,False,None,12,R4,LOAN_SERVICING
LN-508928,APP-209682,CUST-104858,Personal,Personal Standard,2024-08-30,2024-09-01,30172.76,0.1409,24,False,None,3,R1,LOAN_SERVICING
LN-509051,APP-209816,CUST-103316,Personal,Personal Standard,2024-08-30,2024-08-31,23930.74,0.1334,32,False,None,5,R1,LOAN_SERVICING
LN-509173,APP-209947,CUST-102752,Credit Card,Credit Card Standard,2024-08-30,2024-08-31,5069.5,0.1682,0,False,None,6,R4,LOAN_SERVICING
LN-509702,APP-210525,CUST-102577,Auto,Auto Standard,2024-08-30,2024-08-30,39703.77,0.06,42,True,Vehicle,12,R5,LOAN_SERVICING
