customer_id,file_date,source_updated_at,fico_score,risk_band_code,is_late_arrival,source_system
CUST-101815,2025-06-03,2025-06-10,689,R4,True,CREDIT_BUREAU
CUST-102454,2025-06-03,2025-06-10,692,R4,True,CREDIT_BUREAU
CUST-102302,2025-06-03,2025-06-10,820,R1,True,CREDIT_BUREAU
CUST-104987,2025-06-03,2025-06-10,805,R1,True,CREDIT_BUREAU
CUST-106538,2025-06-03,2025-06-10,809,R1,True,CREDIT_BUREAU
CUST-106580,2025-06-03,2025-06-10,642,R5,True,CREDIT_BUREAU
CUST-104725,2025-06-03,2025-06-10,720,R3,True,CREDIT_BUREAU
CUST-101237,2025-06-03,2025-06-10,722,R3,True,CREDIT_BUREAU
CUST-104695,2025-06-03,2025-06-10,685,R4,True,CREDIT_BUREAU
CUST-106642,2025-06-03,2025-06-10,820,R1,True,CREDIT_BUREAU
CUST-100962,2025-06-03,2025-06-10,733,R3,True,CREDIT_BUREAU
CUST-104702,2025-06-03,2025-06-10,674,R4,True,CREDIT_BUREAU
CUST-106520,2025-06-03,2025-06-10,700,R3,True,CREDIT_BUREAU
CUST-107090,2025-06-03,2025-06-10,714,R3,True,CREDIT_BUREAU
CUST-106412,2025-06-03,2025-06-10,602,R6,True,CREDIT_BUREAU
CUST-107294,2025-06-03,2025-06-10,805,R1,True,CREDIT_BUREAU
CUST-106170,2025-06-03,2025-06-10,724,R3,True,CREDIT_BUREAU
CUST-106094,2025-06-03,2025-06-10,675,R4,True,CREDIT_BUREAU
CUST-104655,2025-06-03,2025-06-10,641,R5,True,CREDIT_BUREAU
CUST-103818,2025-06-03,2025-06-10,668,R4,True,CREDIT_BUREAU
CUST-106832,2025-06-03,2025-06-10,720,R3,True,CREDIT_BUREAU
CUST-101139,2025-06-03,2025-06-10,747,R2,True,CREDIT_BUREAU
CUST-102175,2025-06-03,2025-06-10,662,R4,True,CREDIT_BUREAU
CUST-102094,2025-06-03,2025-06-10,716,R3,True,CREDIT_BUREAU
CUST-102012,2025-06-03,2025-06-10,812,R1,True,CREDIT_BUREAU
CUST-104861,2025-06-03,2025-06-10,761,R2,True,CREDIT_BUREAU
CUST-102710,2025-06-03,2025-06-10,650,R5,True,CREDIT_BUREAU
CUST-104563,2025-06-03,2025-06-10,619,R6,True,CREDIT_BUREAU
CUST-105050,2025-06-03,2025-06-10,752,R2,True,CREDIT_BUREAU
CUST-106819,2025-06-03,2025-06-10,625,R5,True,CREDIT_BUREAU
CUST-100222,2025-06-03,2025-06-10,771,R2,True,CREDIT_BUREAU
CUST-105459,2025-06-03,2025-06-10,646,R5,True,CREDIT_BUREAU
CUST-106772,2025-06-03,2025-06-10,729,R3,True,CREDIT_BUREAU
CUST-107464,2025-06-03,2025-06-10,439,R7,True,CREDIT_BUREAU
CUST-102822,2025-06-03,2025-06-10,672,R4,True,CREDIT_BUREAU
CUST-107723,2025-06-03,2025-06-10,646,R5,True,CREDIT_BUREAU
CUST-102181,2025-06-03,2025-06-10,785,R1,True,CREDIT_BUREAU
CUST-104189,2025-06-03,2025-06-10,689,R4,True,CREDIT_BUREAU
CUST-100114,2025-06-03,2025-06-10,713,R3,True,CREDIT_BUREAU
CUST-103550,2025-06-03,2025-06-10,679,R4,True,CREDIT_BUREAU
CUST-104521,2025-06-03,2025-06-10,804,R1,True,CREDIT_BUREAU
CUST-105969,2025-06-03,2025-06-10,644,R5,True,CREDIT_BUREAU
