ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700043,LN-500688,CUST-107721,CTC-60000378,COL-1090,2025-06-30,2025-07-11,50.0,Kept,50.0,2025-07-04
PTP-700069,LN-501300,CUST-103353,CTC-60000682,COL-1000,2025-06-30,2025-07-03,50.0,Kept,50.0,2025-07-01
PTP-700078,LN-501538,CUST-103541,CTC-60000799,COL-1033,2025-06-30,2025-07-07,73.65,Kept,73.65,2025-07-03
PTP-700196,LN-503824,CUST-102569,CTC-60001931,COL-1089,2025-06-30,2025-07-12,70.76,Broken,0.0,
PTP-700392,LN-507588,CUST-105149,CTC-60003830,COL-1111,2025-06-30,2025-07-08,85.57,Kept,85.57,2025-07-06
PTP-700440,LN-508496,CUST-103249,CTC-60004278,COL-1056,2025-06-30,2025-07-04,134.26,Kept,134.26,2025-07-04
PTP-700471,LN-509140,CUST-100256,CTC-60004574,COL-1100,2025-06-30,2025-07-04,50.0,Kept,50.0,2025-07-01
PTP-700608,LN-501974,CUST-105161,CTC-60005842,COL-1118,2025-06-30,2025-07-13,331.74,Kept,331.74,2025-07-07
PTP-700614,LN-502141,CUST-102073,CTC-60005884,COL-1001,2025-06-30,2025-07-12,410.29,Kept,410.29,2025-07-13
PTP-700856,LN-508860,CUST-107392,CTC-60008361,COL-1068,2025-06-30,2025-07-13,326.15,Kept,326.15,2025-06-30
PTP-701276,LN-501423,CUST-101281,CTC-60012481,COL-1045,2025-06-30,2025-07-12,717.78,Partial,256.59,2025-07-12
PTP-701467,LN-504509,CUST-100221,CTC-60014326,COL-1093,2025-06-30,2025-07-14,925.29,Kept,925.29,2025-07-05
PTP-701529,LN-505356,CUST-104726,CTC-60014890,COL-1097,2025-06-30,2025-07-14,433.99,Kept,433.99,2025-07-13
PTP-701844,LN-508860,CUST-107392,CTC-60008361,COL-1068,2025-06-30,2025-07-11,335.83,Kept,335.83,2025-07-04
