ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700041,LN-500675,CUST-105760,CTC-60000365,COL-1067,2025-04-30,2025-05-13,50.0,Broken,0.0,
PTP-700329,LN-506379,CUST-101018,CTC-60003203,COL-1070,2025-04-30,2025-05-03,124.74,Kept,124.74,2025-05-04
PTP-700489,LN-509366,CUST-104962,CTC-60004687,COL-1044,2025-04-30,2025-05-10,70.13,Kept,70.13,2025-05-04
PTP-700568,LN-500763,CUST-107960,CTC-60005369,COL-1024,2025-04-30,2025-05-14,190.88,Kept,190.88,2025-05-02
PTP-700776,LN-506553,CUST-100297,CTC-60007446,COL-1089,2025-04-30,2025-05-02,135.98,Kept,135.98,2025-05-01
PTP-700788,LN-506983,CUST-102069,CTC-60007624,COL-1024,2025-04-30,2025-05-05,424.55,Partial,112.72,2025-05-05
PTP-700887,LN-509576,CUST-104940,CTC-60008626,COL-1066,2025-04-30,2025-05-11,284.57,Kept,284.57,2025-05-12
PTP-701074,LN-505647,CUST-105103,CTC-60010579,COL-1062,2025-04-30,2025-05-09,330.92,Kept,330.92,2025-05-04
PTP-701224,LN-500317,CUST-102210,CTC-60011995,COL-1017,2025-04-30,2025-05-13,1020.69,Kept,1020.69,2025-05-02
PTP-701434,LN-503991,CUST-100836,CTC-60014018,COL-1006,2025-04-30,2025-05-09,661.99,Kept,661.99,2025-05-10
PTP-701520,LN-505286,CUST-101959,CTC-60014828,COL-1106,2025-04-30,2025-05-10,449.9,Broken,0.0,
PTP-701555,LN-505989,CUST-105087,CTC-60015150,COL-1106,2025-04-30,2025-05-04,788.91,Kept,788.91,2025-05-01
PTP-701641,LN-507559,CUST-100595,CTC-60016039,COL-1082,2025-04-30,2025-05-02,677.23,Kept,677.23,2025-04-30
PTP-701761,LN-509118,CUST-103672,CTC-60017191,COL-1075,2025-04-30,2025-05-06,413.1,Kept,413.1,2025-05-06
