ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700077,LN-501527,CUST-103984,CTC-60000784,COL-1088,2025-04-21,2025-05-05,50.0,Kept,50.0,2025-04-23
PTP-700273,LN-505238,CUST-100884,CTC-60002669,COL-1010,2025-04-21,2025-04-29,84.38,Broken,0.0,
PTP-700351,LN-506799,CUST-102537,CTC-60003443,COL-1053,2025-04-21,2025-05-01,166.85,Kept,166.85,2025-04-28
PTP-700453,LN-508747,CUST-103460,CTC-60004361,COL-1079,2025-04-21,2025-04-23,50.0,Partial,32.47,2025-04-23
PTP-700518,LN-509847,CUST-107598,CTC-60004946,COL-1010,2025-04-21,2025-04-28,51.55,Kept,51.55,2025-04-29
PTP-700730,LN-505433,CUST-105674,CTC-60007113,COL-1046,2025-04-21,2025-04-23,159.87,Kept,159.87,2025-04-23
PTP-701112,LN-506789,CUST-102079,CTC-60010870,COL-1032,2025-04-21,2025-05-04,679.52,Broken,0.0,
PTP-701253,LN-500941,CUST-101535,CTC-60012262,COL-1017,2025-04-21,2025-04-24,598.3,Kept,598.3,2025-04-23
PTP-701295,LN-501727,CUST-102226,CTC-60012699,COL-1082,2025-04-21,2025-04-26,373.55,Broken,0.0,
PTP-701698,LN-508108,CUST-100114,CTC-60016569,COL-1083,2025-04-21,2025-04-26,739.97,Broken,0.0,
PTP-701726,LN-508434,CUST-107242,CTC-60016881,COL-1093,2025-04-21,2025-04-28,836.33,Kept,836.33,2025-04-21
