ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700065,LN-501037,CUST-107481,CTC-60000574,COL-1090,2025-05-26,2025-06-01,71.72,Kept,71.72,2025-06-01
PTP-700075,LN-501434,CUST-105775,CTC-60000761,COL-1096,2025-05-26,2025-05-30,50.61,Kept,50.61,2025-05-29
PTP-700107,LN-502045,CUST-103792,CTC-60001054,COL-1104,2025-05-26,2025-06-08,50.0,Kept,50.0,2025-06-01
PTP-700148,LN-502873,CUST-106503,CTC-60001468,COL-1000,2025-05-26,2025-06-09,109.1,Kept,109.1,2025-06-01
PTP-700674,LN-503762,CUST-105978,CTC-60006486,COL-1009,2025-05-26,2025-06-03,107.41,Kept,107.41,2025-05-29
PTP-700852,LN-508747,CUST-103460,CTC-60008318,COL-1008,2025-05-26,2025-06-01,332.12,Kept,332.12,2025-05-29
PTP-700897,LN-509847,CUST-107598,CTC-60008759,COL-1018,2025-05-26,2025-06-02,171.88,Kept,171.88,2025-06-01
PTP-701060,LN-505235,CUST-107898,CTC-60010456,COL-1077,2025-05-26,2025-06-07,286.17,Kept,286.17,2025-05-28
PTP-701117,LN-506983,CUST-102069,CTC-60010912,COL-1095,2025-05-26,2025-06-01,511.97,Partial,244.81,2025-06-01
PTP-701148,LN-508182,CUST-101550,CTC-60011278,COL-1091,2025-05-26,2025-06-04,364.03,Kept,364.03,2025-05-26
PTP-701360,LN-502941,CUST-102834,CTC-60013312,COL-1003,2025-05-26,2025-06-06,419.63,Broken,0.0,
PTP-701516,LN-505225,CUST-102680,CTC-60014796,COL-1083,2025-05-26,2025-06-05,1405.31,Broken,0.0,
PTP-701550,LN-505917,CUST-104586,CTC-60015092,COL-1026,2025-05-26,2025-05-28,647.66,Kept,647.66,2025-05-27
