application_id,customer_id,loan_type,requested_amount,risk_band_code_at_decision,application_date,decision,decision_date,source_system
APP-200692,CUST-107250,Auto,51679.47,R6,2025-01-29,Approved,2025-01-31,RISK_ENGINE
APP-201005,CUST-104227,Auto,41838.25,R5,2025-01-29,Approved,2025-01-31,RISK_ENGINE
APP-201185,CUST-100800,Credit Card,7511.99,R2,2025-01-29,Approved,2025-01-30,RISK_ENGINE
APP-201892,CUST-100600,Auto,35247.87,R5,2025-01-29,Approved,2025-01-30,RISK_ENGINE
APP-202995,CUST-104227,Credit Card,11589.3,R3,2025-01-29,Approved,2025-01-30,RISK_ENGINE
APP-203057,CUST-101352,Personal,3313.73,R2,2025-01-29,Approved,2025-01-30,RISK_ENGINE
APP-203304,CUST-107681,Personal,18432.98,R3,2025-01-29,Approved,2025-01-31,RISK_ENGINE
APP-205047,CUST-104794,Personal,4768.09,R1,2025-01-29,Approved,2025-02-01,RISK_ENGINE
APP-205266,CUST-101019,Personal,22504.92,R4,2025-01-29,Approved,2025-01-30,RISK_ENGINE
APP-205277,CUST-107752,Auto,42956.67,R3,2025-01-29,Approved,2025-01-30,RISK_ENGINE
APP-205439,CUST-103509,HELOC,78434.53,R2,2025-01-29,Declined,2025-01-30,RISK_ENGINE
APP-206129,CUST-103815,HELOC,53485.65,R3,2025-01-29,Approved,2025-01-30,RISK_ENGINE
APP-206267,CUST-102116,Auto,23205.58,R4,2025-01-29,Approved,2025-02-01,RISK_ENGINE
APP-206535,CUST-102605,Personal,34485.47,R1,2025-01-29,Approved,2025-01-31,RISK_ENGINE
APP-206844,CUST-107221,Auto,42251.46,R1,2025-01-29,Approved,2025-01-30,RISK_ENGINE
APP-207405,CUST-103684,Personal,34210.8,R2,2025-01-29,Approved,2025-02-02,RISK_ENGINE
APP-207518,CUST-107993,Personal,14975.84,R6,2025-01-29,Approved,2025-02-01,RISK_ENGINE
APP-207866,CUST-106297,Personal,24457.82,R2,2025-01-29,Approved,2025-02-02,RISK_ENGINE
APP-208069,CUST-105582,Personal,30755.19,R4,2025-01-29,Approved,2025-02-02,RISK_ENGINE
APP-208658,CUST-101596,Personal,15688.1,R5,2025-01-29,Approved,2025-01-30,RISK_ENGINE
APP-210056,CUST-106602,HELOC,42446.63,R4,2025-01-29,Approved,2025-02-02,RISK_ENGINE
APP-210077,CUST-106395,Credit Card,9680.64,R3,2025-01-29,Approved,2025-01-31,RISK_ENGINE
