application_id,customer_id,loan_type,requested_amount,risk_band_code_at_decision,application_date,decision,decision_date,source_system
APP-200588,CUST-105949,Auto,27284.83,R2,2024-08-26,Approved,2024-08-27,RISK_ENGINE
APP-200951,CUST-100090,Credit Card,8737.34,R5,2024-08-26,Approved,2024-08-27,RISK_ENGINE
APP-201392,CUST-102985,HELOC,15022.58,R2,2024-08-26,Approved,2024-08-29,RISK_ENGINE
APP-201986,CUST-101180,Auto,27419.47,R1,2024-08-26,Approved,2024-08-30,RISK_ENGINE
APP-202473,CUST-100718,Personal,25888.79,R1,2024-08-26,Approved,2024-08-27,RISK_ENGINE
APP-203133,CUST-107701,Auto,48776.05,R3,2024-08-26,Approved,2024-08-30,RISK_ENGINE
APP-203157,CUST-107882,Auto,9131.05,R3,2024-08-26,Approved,2024-08-27,RISK_ENGINE
APP-203779,CUST-100413,Personal,6917.65,R1,2024-08-26,Approved,2024-08-27,RISK_ENGINE
APP-205936,CUST-103349,Credit Card,17054.69,R4,2024-08-26,Approved,2024-08-30,RISK_ENGINE
APP-206226,CUST-105782,Personal,27963.29,R3,2024-08-26,Approved,2024-08-29,RISK_ENGINE
APP-206266,CUST-102282,Mortgage,463651.6,R1,2024-08-26,Declined,2024-08-27,RISK_ENGINE
APP-206754,CUST-107985,Auto,17574.49,R2,2024-08-26,Declined,2024-08-28,RISK_ENGINE
APP-207336,CUST-101411,Personal,26221.62,R1,2024-08-26,Declined,2024-08-30,RISK_ENGINE
APP-208366,CUST-107122,Mortgage,314430.41,R2,2024-08-26,Approved,2024-08-30,RISK_ENGINE
APP-209472,CUST-100682,Credit Card,11039.58,R4,2024-08-26,Approved,2024-08-29,RISK_ENGINE
APP-210525,CUST-102577,Auto,23815.0,R5,2024-08-26,Approved,2024-08-29,RISK_ENGINE
