payment_id,loan_id,customer_id,payment_date,payment_amount,scheduled_amount,payment_type,payment_method,payment_status,is_reversal_flag,nsf_flag,original_payment_id,effective_date,ingestion_date,is_late_arrival,is_corrupt_record
PMT-9017218,LN-504407,CUST-100258,2025-03-13,975.32,975.32,Scheduled,ACH,Posted,False,False,,2025-03-13,2025-03-23,True,False
PMT-9017379,LN-505212,CUST-104849,2025-03-13,465.94,465.94,Scheduled,ACH,Posted,False,False,,2025-03-13,2025-03-23,True,False
PMT-9017478,LN-503296,CUST-100061,2025-03-14,383.57,383.57,Scheduled,Check,Posted,False,False,,2025-03-14,2025-03-23,True,False
PMT-9017602,LN-506342,CUST-105736,2025-03-14,1629.48,1629.48,Scheduled,ACH,Posted,False,False,,2025-03-14,2025-03-23,True,False
PMT-9018028,LN-509988,CUST-103240,2025-03-16,504.74,504.74,Scheduled,Check,Posted,False,False,,2025-03-16,2025-03-23,True,False
PMT-9018255,LN-502554,CUST-101688,2025-03-16,967.61,967.61,Scheduled,ACH,Posted,False,False,,2025-03-16,2025-03-23,True,False
PMT-9018426,LN-500529,CUST-102756,2025-03-17,683.06,683.06,Scheduled,ACH,Posted,False,False,,2025-03-17,2025-03-23,True,False
PMT-9018683,LN-507241,CUST-106303,2025-03-18,645.84,645.84,Scheduled,ACH,Posted,False,False,,2025-03-18,2025-03-23,True,False
PMT-9018898,LN-503761,CUST-102057,2025-03-19,1028.08,1028.08,Scheduled,ACH,Posted,False,False,,2025-03-19,2025-03-23,True,False
PMT-9019187,LN-502967,CUST-106309,2025-03-20,983.42,983.42,Scheduled,ACH,Posted,False,False,,2025-03-20,2025-03-23,True,False
PMT-9019255,LN-502052,CUST-104097,2025-03-20,903.16,903.16,Scheduled,ACH,Posted,False,False,,2025-03-20,2025-03-23,True,False
PMT-9019321,LN-508258,CUST-100441,2025-03-20,617.27,617.27,Scheduled,Cash,Posted,False,False,,2025-03-20,2025-03-23,True,False
PMT-9019387,LN-503475,CUST-103586,2025-03-21,1999.88,999.94,Scheduled,ACH,Posted,False,False,,2025-03-21,2025-03-23,True,False
PMT-9019848,LN-505129,CUST-103250,2025-03-23,277.86,138.93,Scheduled,Check,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019849,LN-508186,CUST-103641,2025-03-23,192.52,0.0,Extra,ACH,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019850,LN-500623,CUST-106665,2025-03-23,249.96,249.96,Scheduled,ACH,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019851,LN-500625,CUST-100607,2025-03-23,408.26,408.26,Scheduled,Wire,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019852,LN-508862,CUST-104717,2025-03-23,737.84,737.84,Scheduled,Wire,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019853,LN-509259,CUST-104521,2025-03-23,246.17,246.17,Scheduled,ACH,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019854,LN-509090,CUST-101698,2025-03-23,659.82,659.82,Scheduled,ACH,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019855,LN-508879,CUST-107328,2025-03-23,322.56,0.0,Extra,ACH,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019856,LN-505348,CUST-102526,2025-03-23,522.08,522.08,Scheduled,ACH,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019857,LN-505493,CUST-104407,2025-03-23,766.62,766.62,Scheduled,ACH,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019858,LN-509359,CUST-101401,2025-03-23,596.26,596.26,Scheduled,ACH,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019859,LN-501593,CUST-105457,2025-03-23,343.7,343.7,Scheduled,Debit Card,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019860,LN-508922,CUST-104913,2025-03-23,329.14,329.14,Scheduled,Debit Card,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019861,LN-507442,CUST-100950,2025-03-23,443.58,443.58,Scheduled,ACH,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019862,LN-509583,CUST-106598,2025-03-23,568.9,568.9,Scheduled,Cash,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019863,LN-508594,CUST-102256,2025-03-23,217.02,217.02,Scheduled,ACH,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019864,LN-509987,CUST-100154,2025-03-23,214.63,214.63,Scheduled,ACH,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019865,LN-508915,CUST-100690,2025-03-23,1007.06,1007.06,Scheduled,ACH,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019866,LN-503484,CUST-101334,2025-03-23,365.75,0.0,Extra,Check,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019867,LN-506577,CUST-101573,2025-03-23,624.77,624.77,Scheduled,Check,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019868,LN-508982,CUST-104893,2025-03-23,324.5,324.5,Scheduled,ACH,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019869,LN-501087,CUST-107652,2025-03-23,1431.52,1431.52,Scheduled,Check,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019870,LN-506083,CUST-107192,2025-03-23,945.37,945.37,Scheduled,Debit Card,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019871,LN-503508,CUST-104639,2025-03-23,815.89,815.89,Scheduled,ACH,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019872,LN-508266,CUST-107443,2025-03-23,983.66,983.66,Scheduled,ACH,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019873,LN-508737,CUST-101721,2025-03-23,417.46,208.73,Scheduled,Check,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019874,LN-507811,CUST-103258,2025-03-23,137.07,137.07,Scheduled,ACH,Returned,False,True,,2025-03-23,2025-03-23,False,False
PMT-9019875,LN-504637,CUST-101718,2025-03-23,336.64,336.64,Scheduled,Check,Posted,False,False,,2025-03-23,2025-03-23,False,False
PMT-9019876,LN-508405,CUST-107410,2025-03-23,949.35,949.35,Scheduled,ACH,Posted,False,False,,2025-03-23,2025-03-23,False,False
