application_id,customer_id,loan_type,requested_amount,risk_band_code_at_decision,application_date,decision,decision_date,source_system
APP-200093,CUST-101210,Personal,17106.72,R4,2024-07-12,Approved,2024-07-16,RISK_ENGINE
APP-200779,CUST-100673,Auto,15810.97,R3,2024-07-12,Approved,2024-07-16,RISK_ENGINE
APP-201100,CUST-101939,Auto,37911.07,R5,2024-07-12,Approved,2024-07-14,RISK_ENGINE
APP-201175,CUST-107496,Auto,20888.77,R6,2024-07-12,Declined,2024-07-14,RISK_ENGINE
APP-201798,CUST-100420,Credit Card,16513.28,R3,2024-07-12,Approved,2024-07-16,RISK_ENGINE
APP-202087,CUST-107974,Credit Card,9832.01,R3,2024-07-12,Approved,2024-07-14,RISK_ENGINE
APP-202640,CUST-107576,Auto,54605.62,R7,2024-07-12,Approved,2024-07-15,RISK_ENGINE
APP-203337,CUST-104895,Personal,31260.87,R4,2024-07-12,Approved,2024-07-14,RISK_ENGINE
APP-203389,CUST-107159,Auto,26312.78,R4,2024-07-12,Declined,2024-07-14,RISK_ENGINE
APP-204896,CUST-102461,Personal,33327.67,R3,2024-07-12,Approved,2024-07-16,RISK_ENGINE
APP-205347,CUST-104453,Personal,4700.27,R5,2024-07-12,Approved,2024-07-14,RISK_ENGINE
APP-205564,CUST-102731,Personal,27190.79,R5,2024-07-12,Approved,2024-07-14,RISK_ENGINE
APP-206052,CUST-105540,Auto,17304.52,R3,2024-07-12,Approved,2024-07-16,RISK_ENGINE
APP-206404,CUST-101998,Credit Card,15376.02,R4,2024-07-12,Approved,2024-07-15,RISK_ENGINE
APP-207292,CUST-106937,Personal,5365.0,R5,2024-07-12,Approved,2024-07-13,RISK_ENGINE
APP-207629,CUST-102544,Personal,25120.79,R6,2024-07-12,Approved,2024-07-15,RISK_ENGINE
APP-207834,CUST-105408,Mortgage,579478.67,R2,2024-07-12,Approved,2024-07-16,RISK_ENGINE
APP-208073,CUST-100659,Auto,54986.64,R4,2024-07-12,Approved,2024-07-15,RISK_ENGINE
APP-208456,CUST-102989,Personal,27091.14,R5,2024-07-12,Declined,2024-07-13,RISK_ENGINE
APP-208860,CUST-106162,Personal,26425.88,R4,2024-07-12,Approved,2024-07-14,RISK_ENGINE
APP-208946,CUST-104803,Credit Card,2666.53,R2,2024-07-12,Approved,2024-07-16,RISK_ENGINE
APP-208986,CUST-100827,HELOC,45705.37,R4,2024-07-12,Approved,2024-07-15,RISK_ENGINE
APP-209230,CUST-106961,Auto,36870.25,R2,2024-07-12,Approved,2024-07-15,RISK_ENGINE
APP-209796,CUST-103581,Credit Card,15360.17,R1,2024-07-12,Approved,2024-07-16,RISK_ENGINE
APP-210421,CUST-105584,Auto,36510.83,R5,2024-07-12,Declined,2024-07-15,RISK_ENGINE
