ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700160,LN-503138,CUST-103598,CTC-60001596,COL-1004,2025-03-23,2025-03-26,86.18,Kept,86.18,2025-03-25
PTP-700247,LN-504837,CUST-100067,CTC-60002480,COL-1079,2025-03-23,2025-03-29,70.34,Partial,26.36,2025-03-29
PTP-700483,LN-509260,CUST-104949,CTC-60004642,COL-1004,2025-03-23,2025-03-31,65.3,Kept,65.3,2025-04-02
PTP-700523,LN-509922,CUST-102743,CTC-60005006,COL-1100,2025-03-23,2025-04-05,50.0,Kept,50.0,2025-04-03
PTP-700631,LN-502477,CUST-100598,CTC-60006031,COL-1043,2025-03-23,2025-04-03,263.21,Kept,263.21,2025-03-25
PTP-700636,LN-502676,CUST-100793,CTC-60006132,COL-1115,2025-03-23,2025-03-31,315.07,Partial,112.65,2025-03-31
PTP-700835,LN-508305,CUST-102373,CTC-60008159,COL-1028,2025-03-23,2025-04-02,277.9,Kept,277.9,2025-04-03
PTP-701069,LN-505500,CUST-100110,CTC-60010539,COL-1062,2025-03-23,2025-03-25,277.53,Partial,128.07,2025-03-25
PTP-701155,LN-508434,CUST-107242,CTC-60011361,COL-1077,2025-03-23,2025-03-30,427.98,Partial,237.44,2025-03-30
PTP-701182,LN-509396,CUST-100074,CTC-60011613,COL-1077,2025-03-23,2025-04-03,276.38,Kept,276.38,2025-03-31
PTP-701429,LN-503884,CUST-107259,CTC-60013975,COL-1106,2025-03-23,2025-04-04,482.29,Kept,482.29,2025-04-05
PTP-701487,LN-504906,CUST-107996,CTC-60014556,COL-1084,2025-03-23,2025-03-25,369.25,Kept,369.25,2025-03-24
PTP-701514,LN-505225,CUST-102680,CTC-60014773,COL-1084,2025-03-23,2025-04-02,632.98,Broken,0.0,
PTP-701524,LN-505292,CUST-101533,CTC-60014852,COL-1113,2025-03-23,2025-03-25,626.79,Kept,626.79,2025-03-23
PTP-701634,LN-507444,CUST-100807,CTC-60015953,COL-1022,2025-03-23,2025-03-26,761.9,Kept,761.9,2025-03-27
PTP-701666,LN-507868,CUST-101659,CTC-60016256,COL-1109,2025-03-23,2025-03-29,1014.07,Broken,0.0,
PTP-701757,LN-509063,CUST-101870,CTC-60017177,COL-1094,2025-03-23,2025-03-28,986.5,Kept,986.5,2025-03-28
