application_id,customer_id,loan_type,requested_amount,risk_band_code_at_decision,application_date,decision,decision_date,source_system
APP-200136,CUST-107325,Auto,37269.78,R4,2025-05-26,Approved,2025-05-28,RISK_ENGINE
APP-200265,CUST-102884,Auto,45801.79,R3,2025-05-26,Declined,2025-05-30,RISK_ENGINE
APP-200340,CUST-101405,Mortgage,253808.73,R3,2025-05-26,Approved,2025-05-29,RISK_ENGINE
APP-200486,CUST-105546,Credit Card,4886.51,R3,2025-05-26,Approved,2025-05-30,RISK_ENGINE
APP-201010,CUST-104437,Auto,48620.91,R4,2025-05-26,Approved,2025-05-27,RISK_ENGINE
APP-202384,CUST-102473,Auto,49054.72,R4,2025-05-26,Approved,2025-05-29,RISK_ENGINE
APP-204063,CUST-104796,Personal,34564.86,R5,2025-05-26,Approved,2025-05-29,RISK_ENGINE
APP-204846,CUST-107564,Credit Card,19654.67,R4,2025-05-26,Approved,2025-05-29,RISK_ENGINE
APP-205372,CUST-103582,Auto,25235.92,R2,2025-05-26,Approved,2025-05-27,RISK_ENGINE
APP-205586,CUST-103917,Personal,17052.89,R4,2025-05-26,Approved,2025-05-28,RISK_ENGINE
APP-207205,CUST-102181,Auto,21664.43,R2,2025-05-26,Approved,2025-05-30,RISK_ENGINE
APP-208611,CUST-104006,HELOC,25812.93,R6,2025-05-26,Approved,2025-05-27,RISK_ENGINE
APP-208645,CUST-107089,Auto,49988.1,R1,2025-05-26,Approved,2025-05-30,RISK_ENGINE
APP-209102,CUST-106300,Personal,13748.04,R4,2025-05-26,Approved,2025-05-27,RISK_ENGINE
