customer_id,file_date,source_updated_at,fico_score,risk_band_code,is_late_arrival,source_system
CUST-104548,2025-01-03,2025-01-12,750,R2,True,CREDIT_BUREAU
CUST-101221,2025-01-03,2025-01-12,769,R2,True,CREDIT_BUREAU
CUST-105705,2025-01-03,2025-01-12,766,R2,True,CREDIT_BUREAU
CUST-106918,2025-01-03,2025-01-12,725,R3,True,CREDIT_BUREAU
CUST-104956,2025-01-03,2025-01-12,642,R5,True,CREDIT_BUREAU
CUST-103551,2025-01-03,2025-01-12,708,R3,True,CREDIT_BUREAU
CUST-102785,2025-01-03,2025-01-12,721,R3,True,CREDIT_BUREAU
CUST-104486,2025-01-03,2025-01-12,714,R3,True,CREDIT_BUREAU
CUST-104582,2025-01-03,2025-01-12,750,R2,True,CREDIT_BUREAU
CUST-107127,2025-01-03,2025-01-12,717,R3,True,CREDIT_BUREAU
CUST-107527,2025-01-03,2025-01-12,625,R5,True,CREDIT_BUREAU
CUST-104279,2025-01-03,2025-01-12,634,R5,True,CREDIT_BUREAU
CUST-100856,2025-01-03,2025-01-12,738,R3,True,CREDIT_BUREAU
CUST-106928,2025-01-03,2025-01-12,647,R5,True,CREDIT_BUREAU
CUST-102426,2025-01-03,2025-01-12,441,R7,True,CREDIT_BUREAU
CUST-106011,2025-01-03,2025-01-12,799,R1,True,CREDIT_BUREAU
CUST-103882,2025-01-03,2025-01-12,599,R6,True,CREDIT_BUREAU
CUST-105983,2025-01-03,2025-01-12,650,R5,True,CREDIT_BUREAU
CUST-107020,2025-01-03,2025-01-12,750,R2,True,CREDIT_BUREAU
CUST-100083,2025-01-03,2025-01-12,604,R6,True,CREDIT_BUREAU
CUST-103796,2025-01-03,2025-01-12,682,R4,True,CREDIT_BUREAU
CUST-103543,2025-01-03,2025-01-12,605,R6,True,CREDIT_BUREAU
CUST-100773,2025-01-03,2025-01-12,708,R3,True,CREDIT_BUREAU
CUST-107300,2025-01-03,2025-01-12,712,R3,True,CREDIT_BUREAU
CUST-102849,2025-01-03,2025-01-12,635,R5,True,CREDIT_BUREAU
CUST-103366,2025-01-03,2025-01-12,722,R3,True,CREDIT_BUREAU
CUST-102513,2025-01-03,2025-01-12,616,R6,True,CREDIT_BUREAU
CUST-102712,2025-01-03,2025-01-12,649,R5,True,CREDIT_BUREAU
CUST-104683,2025-01-03,2025-01-12,668,R4,True,CREDIT_BUREAU
CUST-100739,2025-01-03,2025-01-12,824,R1,True,CREDIT_BUREAU
CUST-102827,2025-01-03,2025-01-12,762,R2,True,CREDIT_BUREAU
CUST-107534,2025-01-03,2025-01-12,637,R5,True,CREDIT_BUREAU
CUST-106391,2025-01-03,2025-01-12,646,R5,True,CREDIT_BUREAU
CUST-102349,2025-01-03,2025-01-12,635,R5,True,CREDIT_BUREAU
CUST-106007,2025-01-03,2025-01-12,799,R1,True,CREDIT_BUREAU
CUST-101639,2025-01-03,2025-01-12,692,R4,True,CREDIT_BUREAU
CUST-102471,2025-01-03,2025-01-12,809,R1,True,CREDIT_BUREAU
CUST-101604,2025-01-03,2025-01-12,677,R4,True,CREDIT_BUREAU
CUST-103733,2025-01-03,2025-01-12,640,R5,True,CREDIT_BUREAU
CUST-103916,2025-01-03,2025-01-12,441,R7,True,CREDIT_BUREAU
