customer_id,file_date,source_updated_at,fico_score,risk_band_code,is_late_arrival,source_system
CUST-102530,2025-06-03,2025-06-17,628,R5,True,CREDIT_BUREAU
CUST-107817,2025-06-03,2025-06-17,816,R1,True,CREDIT_BUREAU
CUST-104358,2025-06-03,2025-06-17,686,R4,True,CREDIT_BUREAU
CUST-104635,2025-06-03,2025-06-17,735,R3,True,CREDIT_BUREAU
CUST-102752,2025-06-03,2025-06-17,687,R4,True,CREDIT_BUREAU
CUST-101662,2025-06-03,2025-06-17,752,R2,True,CREDIT_BUREAU
CUST-106307,2025-06-03,2025-06-17,578,R7,True,CREDIT_BUREAU
CUST-103954,2025-06-03,2025-06-17,823,R1,True,CREDIT_BUREAU
CUST-103111,2025-06-03,2025-06-17,591,R6,True,CREDIT_BUREAU
CUST-107146,2025-06-03,2025-06-17,600,R6,True,CREDIT_BUREAU
CUST-104584,2025-06-03,2025-06-17,758,R2,True,CREDIT_BUREAU
CUST-107755,2025-06-03,2025-06-17,804,R1,True,CREDIT_BUREAU
CUST-104602,2025-06-03,2025-06-17,678,R4,True,CREDIT_BUREAU
CUST-101707,2025-06-03,2025-06-17,813,R1,True,CREDIT_BUREAU
CUST-107600,2025-06-03,2025-06-17,624,R5,True,CREDIT_BUREAU
CUST-106259,2025-06-03,2025-06-17,697,R4,True,CREDIT_BUREAU
CUST-100392,2025-06-03,2025-06-17,806,R1,True,CREDIT_BUREAU
CUST-100088,2025-06-03,2025-06-17,678,R4,True,CREDIT_BUREAU
CUST-107107,2025-06-03,2025-06-17,637,R5,True,CREDIT_BUREAU
CUST-104571,2025-06-03,2025-06-17,681,R4,True,CREDIT_BUREAU
CUST-102064,2025-06-03,2025-06-17,722,R3,True,CREDIT_BUREAU
CUST-107698,2025-06-03,2025-06-17,826,R1,True,CREDIT_BUREAU
CUST-101904,2025-06-03,2025-06-17,639,R5,True,CREDIT_BUREAU
CUST-102084,2025-06-03,2025-06-17,730,R3,True,CREDIT_BUREAU
CUST-107942,2025-06-03,2025-06-17,667,R4,True,CREDIT_BUREAU
CUST-106697,2025-06-03,2025-06-17,750,R2,True,CREDIT_BUREAU
CUST-105925,2025-06-03,2025-06-17,842,R1,True,CREDIT_BUREAU
CUST-100869,2025-06-03,2025-06-17,635,R5,True,CREDIT_BUREAU
CUST-104519,2025-06-03,2025-06-17,708,R3,True,CREDIT_BUREAU
CUST-107532,2025-06-03,2025-06-17,812,R1,True,CREDIT_BUREAU
CUST-106246,2025-06-03,2025-06-17,749,R2,True,CREDIT_BUREAU
CUST-107106,2025-06-03,2025-06-17,773,R2,True,CREDIT_BUREAU
CUST-103573,2025-06-03,2025-06-17,752,R2,True,CREDIT_BUREAU
CUST-105934,2025-06-03,2025-06-17,734,R3,True,CREDIT_BUREAU
CUST-107160,2025-06-03,2025-06-17,686,R4,True,CREDIT_BUREAU
CUST-106007,2025-06-03,2025-06-17,843,R1,True,CREDIT_BUREAU
CUST-104837,2025-06-03,2025-06-17,715,R3,True,CREDIT_BUREAU
CUST-105187,2025-06-03,2025-06-17,643,R5,True,CREDIT_BUREAU
CUST-106752,2025-06-03,2025-06-17,726,R3,True,CREDIT_BUREAU
CUST-100369,2025-06-03,2025-06-17,786,R1,True,CREDIT_BUREAU
CUST-104436,2025-06-03,2025-06-17,712,R3,True,CREDIT_BUREAU
CUST-100098,2025-06-03,2025-06-17,722,R3,True,CREDIT_BUREAU
CUST-101917,2025-06-03,2025-06-17,647,R5,True,CREDIT_BUREAU
CUST-102204,2025-06-03,2025-06-17,652,R5,True,CREDIT_BUREAU
