application_id,customer_id,loan_type,requested_amount,risk_band_code_at_decision,application_date,decision,decision_date,source_system
APP-200142,CUST-104975,Mortgage,155221.96,R4,2024-02-11,Approved,2024-02-14,RISK_ENGINE
APP-200372,CUST-107781,Auto,16685.04,R4,2024-02-11,Approved,2024-02-13,RISK_ENGINE
APP-201060,CUST-104855,Personal,34225.8,R3,2024-02-11,Approved,2024-02-14,RISK_ENGINE
APP-201472,CUST-106415,HELOC,56158.43,R1,2024-02-11,Approved,2024-02-15,RISK_ENGINE
APP-201841,CUST-104124,HELOC,77343.47,R3,2024-02-11,Approved,2024-02-15,RISK_ENGINE
APP-202449,CUST-100291,Personal,7738.03,R7,2024-02-11,Approved,2024-02-12,RISK_ENGINE
APP-202605,CUST-100804,Auto,31968.53,R4,2024-02-11,Approved,2024-02-12,RISK_ENGINE
APP-202682,CUST-100598,Personal,32514.92,R3,2024-02-11,Approved,2024-02-13,RISK_ENGINE
APP-202752,CUST-106602,Auto,50700.33,R5,2024-02-11,Approved,2024-02-12,RISK_ENGINE
APP-203590,CUST-106248,Personal,2913.64,R3,2024-02-11,Approved,2024-02-13,RISK_ENGINE
APP-204201,CUST-106265,Auto,22779.82,R3,2024-02-11,Approved,2024-02-15,RISK_ENGINE
APP-206876,CUST-106012,Personal,28010.28,R5,2024-02-11,Declined,2024-02-12,RISK_ENGINE
APP-207666,CUST-104239,Auto,21060.9,R3,2024-02-11,Approved,2024-02-12,RISK_ENGINE
APP-208680,CUST-102578,Auto,29031.19,R5,2024-02-11,Approved,2024-02-12,RISK_ENGINE
APP-209623,CUST-103609,Personal,29545.76,R4,2024-02-11,Approved,2024-02-12,RISK_ENGINE
APP-209762,CUST-104019,Credit Card,2340.23,R1,2024-02-11,Approved,2024-02-13,RISK_ENGINE
APP-210212,CUST-106488,Auto,51678.69,R2,2024-02-11,Approved,2024-02-14,RISK_ENGINE
APP-210350,CUST-104640,Personal,6788.66,R5,2024-02-11,Approved,2024-02-13,RISK_ENGINE
APP-210454,CUST-107888,Personal,13203.11,R1,2024-02-11,Approved,2024-02-12,RISK_ENGINE
