ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700133,LN-502663,CUST-106510,CTC-60001354,COL-1111,2025-05-23,2025-05-26,177.35,Kept,177.35,2025-05-27
PTP-700156,LN-503029,CUST-104708,CTC-60001556,COL-1114,2025-05-23,2025-06-06,129.09,Partial,34.42,2025-06-06
PTP-700736,LN-505589,CUST-104359,CTC-60007157,COL-1015,2025-05-23,2025-06-03,353.45,Kept,353.45,2025-05-27
PTP-700770,LN-506373,CUST-101724,CTC-60007405,COL-1064,2025-05-23,2025-05-28,310.8,Partial,101.37,2025-05-28
PTP-700772,LN-506463,CUST-103863,CTC-60007416,COL-1001,2025-05-23,2025-06-05,311.49,Kept,311.49,2025-05-26
PTP-701015,LN-503517,CUST-104411,CTC-60009910,COL-1119,2025-05-23,2025-05-27,358.45,Kept,358.45,2025-05-28
PTP-701098,LN-506279,CUST-104353,CTC-60010750,COL-1109,2025-05-23,2025-06-05,311.21,Kept,311.21,2025-05-23
PTP-701476,LN-504686,CUST-101065,CTC-60014462,COL-1055,2025-05-23,2025-06-01,458.04,Broken,0.0,
PTP-701653,LN-507727,CUST-106645,CTC-60016138,COL-1057,2025-05-23,2025-06-06,767.36,Kept,767.36,2025-05-24
PTP-701845,LN-506589,CUST-100026,CTC-60003329,COL-1020,2025-05-23,2025-06-01,132.46,Kept,132.46,2025-05-29
