contact_id,loan_id,customer_id,contact_date,collector_id,channel_code,contact_direction,contact_outcome,is_rpc_flag,call_duration_seconds,complaint_flag,source_system,is_corrupt_record
CTC-60000748,LN-501397,CUST-100176,2025-03-13,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60000899,LN-501739,CUST-104955,2025-03-13,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60001304,LN-502594,CUST-107539,2025-03-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60001634,LN-503230,CUST-107264,2025-03-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60001698,LN-503367,CUST-107118,2025-03-13,,SMS,Outbound,Undeliverable,False,,False,COLLECTIONS_PLATFORM,False
CTC-60001885,LN-503710,CUST-106661,2025-03-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60001942,LN-503839,CUST-101564,2025-03-13,,IVR,Outbound,Undeliverable,False,,False,COLLECTIONS_PLATFORM,False
CTC-60001957,LN-503852,CUST-101904,2025-03-13,,SMS,Outbound,Undeliverable,False,,False,COLLECTIONS_PLATFORM,False
CTC-60001984,LN-503899,CUST-100998,2025-03-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002347,LN-504638,CUST-101624,2025-03-13,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002357,LN-504650,CUST-100551,2025-03-13,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002595,LN-505071,CUST-105805,2025-03-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003525,LN-506959,CUST-100577,2025-03-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003807,LN-507541,CUST-103036,2025-03-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003963,LN-507864,CUST-106520,2025-03-13,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60004017,LN-507953,CUST-105615,2025-03-13,,SMS,Outbound,Undeliverable,False,,False,COLLECTIONS_PLATFORM,False
CTC-60004077,LN-508084,CUST-104863,2025-03-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60004502,LN-508997,CUST-102754,2025-03-13,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60005184,LN-500298,CUST-101825,2025-03-13,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
