loan_id,application_id,primary_customer_id,loan_type,loan_sub_product,origination_date,disbursement_date,origination_amount,interest_rate,loan_term_months,is_secured_flag,collateral_type,due_day_of_month,risk_band_code,source_system
LN-500049,APP-200052,CUST-101729,Auto,Auto Standard,2025-03-14,2025-03-14,8059.07,0.1057,46,True,Vehicle,22,R5,LOAN_SERVICING
LN-500224,APP-200237,CUST-105099,Credit Card,Credit Card Standard,2025-03-14,2025-03-15,10838.25,0.2545,0,False,None,6,R1,LOAN_SERVICING
LN-500900,APP-200965,CUST-102891,Auto,Auto Standard,2025-03-14,2025-03-16,52908.8,0.0849,63,True,Vehicle,1,R6,LOAN_SERVICING
LN-501020,APP-201090,CUST-107306,Credit Card,Credit Card Standard,2025-03-14,2025-03-14,4001.66,0.2417,0,False,None,4,R5,LOAN_SERVICING
LN-501042,APP-201113,CUST-101705,Auto,Auto Standard,2025-03-14,2025-03-16,47918.17,0.0738,67,True,Vehicle,20,R1,LOAN_SERVICING
LN-501239,APP-201331,CUST-106520,Auto,Auto Standard,2025-03-14,2025-03-16,42638.06,0.054,52,True,Vehicle,27,R4,LOAN_SERVICING
LN-502776,APP-203007,CUST-105565,HELOC,HELOC Standard,2025-03-14,2025-03-16,124775.03,0.0917,90,True,Real Estate,23,R4,LOAN_SERVICING
LN-503200,APP-203469,CUST-106206,HELOC,HELOC Standard,2025-03-14,2025-03-15,121227.32,0.0806,93,True,Real Estate,11,R5,LOAN_SERVICING
LN-503526,APP-203824,CUST-107570,Auto,Auto Standard,2025-03-14,2025-03-14,8477.42,0.0926,42,True,Vehicle,27,R1,LOAN_SERVICING
LN-504631,APP-205016,CUST-103104,Personal,Personal Standard,2025-03-14,2025-03-16,3244.14,0.1188,35,False,None,4,R6,LOAN_SERVICING
LN-505486,APP-205957,CUST-104824,Credit Card,Credit Card Standard,2025-03-14,2025-03-15,9655.08,0.1742,0,False,None,25,R4,LOAN_SERVICING
LN-505603,APP-206090,CUST-103603,Credit Card,Credit Card Standard,2025-03-14,2025-03-14,7965.79,0.1781,0,False,None,24,R1,LOAN_SERVICING
LN-506795,APP-207381,CUST-101475,Auto,Auto Standard,2025-03-14,2025-03-15,54391.06,0.0814,57,True,Vehicle,24,R1,LOAN_SERVICING
LN-507492,APP-208138,CUST-100971,Personal,Personal Standard,2025-03-14,2025-03-16,11421.84,0.1001,21,False,None,2,R1,LOAN_SERVICING
LN-508148,APP-208838,CUST-105239,HELOC,HELOC Standard,2025-03-14,2025-03-15,39081.87,0.0611,105,True,Real Estate,12,R6,LOAN_SERVICING
LN-508953,APP-209708,CUST-100439,Auto,Auto Standard,2025-03-14,2025-03-15,25161.21,0.1059,56,True,Vehicle,13,R5,LOAN_SERVICING
LN-509361,APP-210150,CUST-107842,Personal,Personal Standard,2025-03-14,2025-03-16,2241.63,0.087,43,False,None,18,R4,LOAN_SERVICING
LN-509366,APP-210156,CUST-104962,Personal,Personal Standard,2025-03-14,2025-03-14,25044.07,0.1288,51,False,None,22,R2,LOAN_SERVICING
LN-509509,APP-210313,CUST-107351,Personal,Personal Standard,2025-03-14,2025-03-15,30538.16,0.1854,40,False,None,13,R3,LOAN_SERVICING
