application_id,customer_id,loan_type,requested_amount,risk_band_code_at_decision,application_date,decision,decision_date,source_system
APP-200519,CUST-102954,Credit Card,24929.28,R3,2024-07-27,Approved,2024-07-31,RISK_ENGINE
APP-200615,CUST-103676,Personal,28984.08,R2,2024-07-27,Approved,2024-07-31,RISK_ENGINE
APP-200912,CUST-102245,Credit Card,3679.2,R3,2024-07-27,Approved,2024-07-29,RISK_ENGINE
APP-201314,CUST-107912,Auto,17850.68,R2,2024-07-27,Approved,2024-07-31,RISK_ENGINE
APP-201551,CUST-100685,Auto,48409.99,R6,2024-07-27,Approved,2024-07-30,RISK_ENGINE
APP-201595,CUST-100623,Mortgage,408410.38,R3,2024-07-27,Approved,2024-07-30,RISK_ENGINE
APP-202022,CUST-101486,Personal,4024.43,R2,2024-07-27,Approved,2024-07-30,RISK_ENGINE
APP-202423,CUST-105893,Personal,20600.21,R3,2024-07-27,Approved,2024-07-31,RISK_ENGINE
APP-202863,CUST-101554,Auto,19402.42,R1,2024-07-27,Approved,2024-07-28,RISK_ENGINE
APP-202909,CUST-102366,Mortgage,371163.31,R4,2024-07-27,Approved,2024-07-28,RISK_ENGINE
APP-203463,CUST-101450,Personal,31134.93,R3,2024-07-27,Approved,2024-07-31,RISK_ENGINE
APP-205422,CUST-104931,Auto,33368.44,R3,2024-07-27,Approved,2024-07-29,RISK_ENGINE
APP-205845,CUST-103286,Credit Card,4271.44,R6,2024-07-27,Approved,2024-07-28,RISK_ENGINE
APP-206385,CUST-106024,Auto,15163.89,R7,2024-07-27,Approved,2024-07-31,RISK_ENGINE
APP-206569,CUST-103501,Auto,17289.25,R1,2024-07-27,Approved,2024-07-29,RISK_ENGINE
APP-207117,CUST-101562,Auto,54076.39,R4,2024-07-27,Approved,2024-07-28,RISK_ENGINE
APP-207790,CUST-105965,Auto,9425.0,R1,2024-07-27,Approved,2024-07-30,RISK_ENGINE
APP-208292,CUST-101330,Credit Card,15722.14,R2,2024-07-27,Approved,2024-07-29,RISK_ENGINE
APP-208296,CUST-100716,Auto,46404.69,R3,2024-07-27,Approved,2024-07-30,RISK_ENGINE
APP-209185,CUST-105009,Auto,42804.1,R1,2024-07-27,Approved,2024-07-29,RISK_ENGINE
APP-209974,CUST-102479,Auto,26842.83,R7,2024-07-27,Approved,2024-07-28,RISK_ENGINE
