ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700038,LN-500636,CUST-100426,CTC-60000358,COL-1088,2025-03-20,2025-03-25,104.29,Partial,50.87,2025-03-25
PTP-700602,LN-501714,CUST-104015,CTC-60005750,COL-1007,2025-03-20,2025-03-23,402.4,Kept,402.4,2025-03-25
PTP-700727,LN-505356,CUST-104726,CTC-60007072,COL-1028,2025-03-20,2025-03-25,194.08,Kept,194.08,2025-03-27
PTP-701219,LN-500285,CUST-105329,CTC-60011960,COL-1094,2025-03-20,2025-04-01,792.75,Kept,792.75,2025-03-27
PTP-701250,LN-500818,CUST-104587,CTC-60012231,COL-1094,2025-03-20,2025-03-29,1010.58,Broken,0.0,
PTP-701292,LN-501670,CUST-104537,CTC-60012672,COL-1092,2025-03-20,2025-04-02,868.14,Broken,0.0,
PTP-701382,LN-503210,CUST-106724,CTC-60013454,COL-1084,2025-03-20,2025-04-02,1447.06,Kept,1447.06,2025-03-28
PTP-701406,LN-503727,CUST-102369,CTC-60013809,COL-1091,2025-03-20,2025-03-25,957.84,Kept,957.84,2025-03-26
PTP-701486,LN-504906,CUST-107996,CTC-60014555,COL-1022,2025-03-20,2025-03-22,658.22,Broken,0.0,
PTP-701605,LN-506765,CUST-101563,CTC-60015666,COL-1083,2025-03-20,2025-03-22,841.08,Broken,0.0,
PTP-701679,LN-508003,CUST-102578,CTC-60016432,COL-1006,2025-03-20,2025-04-01,824.16,Kept,824.16,2025-03-28
