ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700169,LN-503356,CUST-102350,CTC-60001682,COL-1070,2025-01-27,2025-02-09,50.0,Kept,50.0,2025-02-09
PTP-700208,LN-504034,CUST-103774,CTC-60002056,COL-1011,2025-01-27,2025-02-04,208.23,Kept,208.23,2025-02-05
PTP-700246,LN-504828,CUST-103867,CTC-60002469,COL-1025,2025-01-27,2025-01-29,50.0,Kept,50.0,2025-01-27
PTP-700397,LN-507672,CUST-107259,CTC-60003877,COL-1078,2025-01-27,2025-02-04,81.72,Kept,81.72,2025-01-28
PTP-700445,LN-508609,CUST-101500,CTC-60004317,COL-1067,2025-01-27,2025-01-30,155.54,Kept,155.54,2025-02-01
PTP-700621,LN-502274,CUST-105922,CTC-60005937,COL-1089,2025-01-27,2025-01-29,332.31,Kept,332.31,2025-01-29
PTP-700847,LN-508695,CUST-105889,CTC-60008279,COL-1007,2025-01-27,2025-02-01,265.11,Broken,0.0,
PTP-701041,LN-504468,CUST-101523,CTC-60010228,COL-1018,2025-01-27,2025-02-08,312.23,Kept,312.23,2025-02-05
PTP-701076,LN-505707,CUST-100570,CTC-60010594,COL-1095,2025-01-27,2025-02-06,304.02,Partial,194.9,2025-02-06
PTP-701087,LN-505917,CUST-104586,CTC-60010667,COL-1077,2025-01-27,2025-02-05,440.18,Kept,440.18,2025-01-28
PTP-701590,LN-506576,CUST-105956,CTC-60015482,COL-1118,2025-01-27,2025-02-06,760.37,Kept,760.37,2025-02-05
