ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700275,LN-505283,CUST-101088,CTC-60002704,COL-1070,2025-04-05,2025-04-19,50.0,Kept,50.0,2025-04-19
PTP-700484,LN-509260,CUST-104949,CTC-60004644,COL-1067,2025-04-05,2025-04-19,248.13,Kept,248.13,2025-04-13
PTP-700805,LN-507575,CUST-104741,CTC-60007831,COL-1028,2025-04-05,2025-04-15,403.03,Kept,403.03,2025-04-05
PTP-700851,LN-508734,CUST-107193,CTC-60008300,COL-1102,2025-04-05,2025-04-14,222.18,Broken,0.0,
PTP-701039,LN-504406,CUST-105031,CTC-60010216,COL-1029,2025-04-05,2025-04-16,685.64,Partial,429.54,2025-04-16
PTP-701119,LN-507030,CUST-102544,CTC-60010923,COL-1051,2025-04-05,2025-04-17,272.33,Kept,272.33,2025-04-06
PTP-701328,LN-502337,CUST-100879,CTC-60013017,COL-1083,2025-04-05,2025-04-08,327.24,Kept,327.24,2025-04-06
PTP-701341,LN-502484,CUST-102622,CTC-60013113,COL-1057,2025-04-05,2025-04-10,784.63,Kept,784.63,2025-04-09
PTP-701663,LN-507832,CUST-105625,CTC-60016246,COL-1093,2025-04-05,2025-04-10,1219.0,Kept,1219.0,2025-04-12
PTP-701804,LN-509690,CUST-106474,CTC-60017566,COL-1108,2025-04-05,2025-04-08,589.13,Kept,589.13,2025-04-08
