ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700152,LN-502997,CUST-103063,CTC-60001529,COL-1067,2025-01-19,2025-01-23,50.0,Kept,50.0,2025-01-24
PTP-700224,LN-504423,CUST-105092,CTC-60002257,COL-1100,2025-01-19,2025-01-28,50.0,Kept,50.0,2025-01-24
PTP-700263,LN-505106,CUST-106702,CTC-60002603,COL-1053,2025-01-19,2025-01-28,77.92,Kept,77.92,2025-01-27
PTP-700378,LN-507283,CUST-107014,CTC-60003683,COL-1015,2025-01-19,2025-01-29,90.75,Broken,0.0,
PTP-700385,LN-507520,CUST-104699,CTC-60003798,COL-1079,2025-01-19,2025-01-23,50.0,Kept,50.0,2025-01-21
PTP-700606,LN-501741,CUST-106074,CTC-60005771,COL-1008,2025-01-19,2025-01-22,215.33,Partial,120.82,2025-01-22
PTP-701046,LN-504623,CUST-100109,CTC-60010286,COL-1077,2025-01-19,2025-02-02,593.68,Broken,0.0,
PTP-701168,LN-508796,CUST-103497,CTC-60011495,COL-1033,2025-01-19,2025-01-25,622.67,Partial,419.48,2025-01-25
PTP-701304,LN-501803,CUST-100130,CTC-60012765,COL-1083,2025-01-19,2025-01-23,1071.5,Kept,1071.5,2025-01-21
PTP-701445,LN-504148,CUST-101069,CTC-60014126,COL-1109,2025-01-19,2025-01-30,409.4,Kept,409.4,2025-01-19
PTP-701585,LN-506575,CUST-104769,CTC-60015461,COL-1003,2025-01-19,2025-01-24,1047.02,Kept,1047.02,2025-01-19
