loan_id,application_id,primary_customer_id,loan_type,loan_sub_product,origination_date,disbursement_date,origination_amount,interest_rate,loan_term_months,is_secured_flag,collateral_type,due_day_of_month,risk_band_code,source_system
LN-500544,APP-200578,CUST-104382,Credit Card,Credit Card Standard,2024-07-02,2024-07-03,4646.99,0.2046,0,False,None,26,R6,LOAN_SERVICING
LN-501848,APP-201998,CUST-102088,Credit Card,Credit Card Standard,2024-07-02,2024-07-02,21398.04,0.1589,0,False,None,9,R2,LOAN_SERVICING
LN-502233,APP-202415,CUST-101769,Credit Card,Credit Card Standard,2024-07-02,2024-07-03,8793.46,0.1867,0,False,None,6,R6,LOAN_SERVICING
LN-502636,APP-202859,CUST-106314,HELOC,HELOC Standard,2024-07-02,2024-07-02,129382.06,0.0856,131,True,Real Estate,8,R2,LOAN_SERVICING
LN-503300,APP-203579,CUST-102287,Personal,Personal Standard,2024-07-02,2024-07-02,7823.27,0.0854,26,False,None,24,R5,LOAN_SERVICING
LN-504537,APP-204912,CUST-104527,HELOC,HELOC Standard,2024-07-02,2024-07-04,97971.11,0.0984,65,True,Real Estate,12,R1,LOAN_SERVICING
LN-504541,APP-204916,CUST-106445,Auto,Auto Standard,2024-07-02,2024-07-03,12661.72,0.0478,72,True,Vehicle,8,R4,LOAN_SERVICING
LN-504865,APP-205272,CUST-106589,Credit Card,Credit Card Standard,2024-07-02,2024-07-03,23693.85,0.193,0,False,None,11,R3,LOAN_SERVICING
LN-505049,APP-205486,CUST-100222,Auto,Auto Standard,2024-07-02,2024-07-03,40821.1,0.0908,40,True,Vehicle,14,R2,LOAN_SERVICING
LN-505550,APP-206032,CUST-100823,Auto,Auto Standard,2024-07-02,2024-07-03,31745.81,0.0464,60,True,Vehicle,26,R4,LOAN_SERVICING
LN-506592,APP-207164,CUST-100272,Credit Card,Credit Card Standard,2024-07-02,2024-07-03,16492.45,0.1838,0,False,None,7,R2,LOAN_SERVICING
LN-506601,APP-207174,CUST-103359,Auto,Auto Standard,2024-07-02,2024-07-02,8796.34,0.0732,44,True,Vehicle,23,R4,LOAN_SERVICING
LN-507014,APP-207612,CUST-104944,Auto,Auto Standard,2024-07-02,2024-07-02,23562.26,0.0979,49,True,Vehicle,13,R4,LOAN_SERVICING
LN-507423,APP-208061,CUST-100661,Personal,Personal Standard,2024-07-02,2024-07-04,34149.57,0.1766,13,False,None,16,R5,LOAN_SERVICING
