loan_id,customer_id,snapshot_date,bucket_index,dpd,restructured_flag,fraud_flag,outstanding_balance,delinquency_bucket
LN-500000,CUST-107530,2025-02-08,0,0,False,False,34532.83000000001,Current
LN-500001,CUST-104707,2025-02-08,0,0,False,False,14426.022500000003,Current
LN-500006,CUST-104241,2025-02-08,0,0,False,False,17689.310000000005,Current
LN-500009,CUST-104996,2025-02-08,0,0,False,False,41226.00749999999,Current
LN-500010,CUST-103092,2025-02-08,0,0,False,False,11221.699999999999,Current
LN-500011,CUST-107344,2025-02-08,1,24,False,False,27999.460000000006,1-29
LN-500012,CUST-102210,2025-02-08,0,0,False,False,3868.5649999999996,Current
LN-500013,CUST-104867,2025-02-08,0,0,False,False,5778.61,Current
LN-500014,CUST-107938,2025-02-08,0,0,False,False,5385.890000000004,Current
LN-500015,CUST-105329,2025-02-08,0,0,False,False,11764.542499999996,Current
LN-500016,CUST-103631,2025-02-08,0,0,False,False,8632.022500000003,Current
LN-500019,CUST-105349,2025-02-08,0,0,False,False,5310.782500000001,Current
LN-500021,CUST-100216,2025-02-08,0,0,False,False,9698.477499999997,Current
LN-500022,CUST-102541,2025-02-08,0,0,False,False,12016.602499999995,Current
LN-500024,CUST-106375,2025-02-08,0,0,False,False,9638.79,Current
LN-500025,CUST-102800,2025-02-08,0,0,False,False,3805.9100000000003,Current
LN-500027,CUST-103608,2025-02-08,0,0,False,False,18708.039999999997,Current
LN-500030,CUST-104122,2025-02-08,0,0,False,False,16521.985000000004,Current
LN-500031,CUST-105559,2025-02-08,0,0,False,False,16496.589999999993,Current
LN-500033,CUST-101498,2025-02-08,0,0,False,False,8521.047499999999,Current
LN-500035,CUST-101844,2025-02-08,0,0,False,False,18694.462499999983,Current
LN-500036,CUST-107229,2025-02-08,0,0,False,False,53934.05,Current
LN-500037,CUST-106505,2025-02-08,0,0,False,False,3014.1025,Current
LN-500038,CUST-100918,2025-02-08,0,0,False,False,2773.449999999999,Current
LN-500039,CUST-100339,2025-02-08,0,0,False,False,22308.39,Current
LN-500040,CUST-102235,2025-02-08,0,0,False,False,12626.960000000003,Current
LN-500042,CUST-107445,2025-02-08,0,0,False,False,35328.847499999974,Current
LN-500043,CUST-102572,2025-02-08,0,0,False,False,14334.115000000002,Current
LN-500044,CUST-100853,2025-02-08,0,0,False,False,10193.477500000006,Current
LN-500045,CUST-107311,2025-02-08,0,0,False,False,600337.09,Current
LN-500046,CUST-101096,2025-02-08,0,0,False,False,23372.335000000003,Current
LN-500047,CUST-100107,2025-02-08,0,0,False,False,11666.270000000002,Current
LN-500048,CUST-100513,2025-02-08,0,0,False,False,1804.3850000000002,Current
LN-500050,CUST-101980,2025-02-08,0,0,False,False,11251.462499999996,Current
LN-500051,CUST-100919,2025-02-08,0,0,False,False,94212.21250000002,Current
LN-500052,CUST-107189,2025-02-08,0,0,False,False,47938.815,Current
LN-500053,CUST-100357,2025-02-08,0,0,False,False,4379.539999999998,Current
LN-500054,CUST-106827,2025-02-08,0,0,False,False,2206.0049999999997,Current
LN-500056,CUST-102636,2025-02-08,3,80,False,False,23192.11,60-89
LN-500057,CUST-104604,2025-02-08,0,0,False,False,17827.899999999998,Current
LN-500058,CUST-104228,2025-02-08,0,0,False,False,21542.152500000015,Current
LN-500061,CUST-103487,2025-02-08,0,0,False,False,50090.73999999998,Current
LN-500062,CUST-101479,2025-02-08,0,0,False,False,19837.72,Current
LN-500063,CUST-104045,2025-02-08,0,0,False,False,11832.747500000003,Current
LN-500065,CUST-102639,2025-02-08,0,0,False,False,5493.58,Current
LN-500066,CUST-101369,2025-02-08,0,0,False,False,18524.14000000001,Current
LN-500067,CUST-105071,2025-02-08,0,0,False,False,22026.23,Current
LN-500069,CUST-101492,2025-02-08,0,0,False,False,24734.695000000007,Current
LN-500070,CUST-107422,2025-02-08,0,0,False,False,5890.1100000000015,Current
LN-500071,CUST-103632,2025-02-08,1,17,False,False,17948.0175,1-29
LN-500072,CUST-105355,2025-02-08,0,0,False,False,10928.945000000005,Current
LN-500074,CUST-100430,2025-02-08,0,0,False,False,35488.189999999995,Current
LN-500075,CUST-102249,2025-02-08,0,0,False,False,1594.1824999999994,Current
LN-500076,CUST-100715,2025-02-08,0,0,False,False,13822.159999999989,Current
LN-500077,CUST-105629,2025-02-08,0,0,False,False,28306.885000000017,Current
LN-500079,CUST-103910,2025-02-08,0,0,False,False,58141.11250000002,Current
LN-500083,CUST-101689,2025-02-08,0,0,False,False,42896.76000000002,Current
