loan_id,application_id,primary_customer_id,loan_type,loan_sub_product,origination_date,disbursement_date,origination_amount,interest_rate,loan_term_months,is_secured_flag,collateral_type,due_day_of_month,risk_band_code,source_system
LN-500057,APP-200061,CUST-104604,Auto,Auto Standard,2024-11-20,2024-11-21,18415.63,0.0697,47,True,Vehicle,23,R2,LOAN_SERVICING
LN-500536,APP-200570,CUST-100396,Auto,Auto Standard,2024-11-20,2024-11-21,12390.16,0.0928,39,True,Vehicle,3,R4,LOAN_SERVICING
LN-500795,APP-200853,CUST-106839,Credit Card,Credit Card Standard,2024-11-20,2024-11-22,7490.32,0.2085,0,False,None,28,R3,LOAN_SERVICING
LN-501735,APP-201878,CUST-107090,Personal,Personal Standard,2024-11-20,2024-11-22,12168.41,0.158,36,False,None,10,R3,LOAN_SERVICING
LN-502102,APP-202274,CUST-106807,Credit Card,Credit Card Standard,2024-11-20,2024-11-20,18952.37,0.1694,0,False,None,26,R4,LOAN_SERVICING
LN-503412,APP-203701,CUST-106545,Personal,Personal Standard,2024-11-20,2024-11-22,22027.36,0.0809,49,False,None,7,R3,LOAN_SERVICING
LN-503419,APP-203709,CUST-100284,Auto,Auto Standard,2024-11-20,2024-11-20,17703.44,0.0784,63,True,Vehicle,2,R1,LOAN_SERVICING
LN-503973,APP-204308,CUST-104324,Auto,Auto Standard,2024-11-20,2024-11-22,49604.82,0.0753,36,True,Vehicle,15,R5,LOAN_SERVICING
LN-504305,APP-204668,CUST-107175,Personal,Personal Standard,2024-11-20,2024-11-21,30447.8,0.1697,28,False,None,7,R6,LOAN_SERVICING
LN-505796,APP-206297,CUST-107528,Auto,Auto Standard,2024-11-20,2024-11-20,53629.16,0.0481,63,True,Vehicle,3,R2,LOAN_SERVICING
LN-506625,APP-207198,CUST-104755,Personal,Personal Standard,2024-11-20,2024-11-20,7523.51,0.1992,34,False,None,12,R3,LOAN_SERVICING
LN-506805,APP-207391,CUST-101821,Credit Card,Credit Card Standard,2024-11-20,2024-11-22,11693.72,0.1556,0,False,None,12,R3,LOAN_SERVICING
LN-507133,APP-207744,CUST-107197,Personal,Personal Standard,2024-11-20,2024-11-22,13559.2,0.1555,29,False,None,1,R2,LOAN_SERVICING
LN-507608,APP-208263,CUST-104444,Credit Card,Credit Card Standard,2024-11-20,2024-11-22,12778.45,0.2405,0,False,None,27,R5,LOAN_SERVICING
LN-507728,APP-208387,CUST-100376,HELOC,HELOC Standard,2024-11-20,2024-11-22,88063.28,0.0712,140,True,Real Estate,26,R6,LOAN_SERVICING
LN-507935,APP-208607,CUST-105616,HELOC,HELOC Standard,2024-11-20,2024-11-21,110652.33,0.0848,75,True,Real Estate,14,R2,LOAN_SERVICING
LN-508775,APP-209519,CUST-100066,Auto,Auto Standard,2024-11-20,2024-11-20,33116.35,0.0652,53,True,Vehicle,5,R5,LOAN_SERVICING
LN-509054,APP-209819,CUST-103886,Credit Card,Credit Card Standard,2024-11-20,2024-11-20,22307.54,0.1609,0,False,None,5,R3,LOAN_SERVICING
LN-509233,APP-210015,CUST-101474,Personal,Personal Standard,2024-11-20,2024-11-20,26265.75,0.1147,50,False,None,24,R4,LOAN_SERVICING
