application_id,customer_id,loan_type,requested_amount,risk_band_code_at_decision,application_date,decision,decision_date,source_system
APP-200011,CUST-103092,Personal,3735.37,R5,2024-09-10,Approved,2024-09-11,RISK_ENGINE
APP-200503,CUST-102406,Personal,20440.24,R4,2024-09-10,Approved,2024-09-14,RISK_ENGINE
APP-201367,CUST-101557,HELOC,79734.73,R4,2024-09-10,Approved,2024-09-12,RISK_ENGINE
APP-203524,CUST-100507,HELOC,58402.3,R3,2024-09-10,Approved,2024-09-14,RISK_ENGINE
APP-203550,CUST-107818,Auto,16737.54,R3,2024-09-10,Approved,2024-09-14,RISK_ENGINE
APP-204187,CUST-100732,Personal,10227.21,R7,2024-09-10,Approved,2024-09-12,RISK_ENGINE
APP-204507,CUST-105488,Auto,15139.24,R2,2024-09-10,Declined,2024-09-13,RISK_ENGINE
APP-204530,CUST-103959,Auto,24416.47,R3,2024-09-10,Approved,2024-09-14,RISK_ENGINE
APP-205497,CUST-106054,HELOC,104136.06,R1,2024-09-10,Approved,2024-09-14,RISK_ENGINE
APP-206244,CUST-105994,Personal,13372.66,R6,2024-09-10,Approved,2024-09-12,RISK_ENGINE
APP-206996,CUST-101886,Personal,34035.89,R5,2024-09-10,Approved,2024-09-12,RISK_ENGINE
APP-207221,CUST-105644,Auto,40107.18,R4,2024-09-10,Approved,2024-09-14,RISK_ENGINE
APP-207256,CUST-104390,Personal,6826.64,R1,2024-09-10,Approved,2024-09-12,RISK_ENGINE
APP-207446,CUST-101119,Auto,19515.42,R1,2024-09-10,Approved,2024-09-12,RISK_ENGINE
APP-207904,CUST-100204,Auto,41345.1,R2,2024-09-10,Approved,2024-09-11,RISK_ENGINE
APP-208226,CUST-103934,Personal,10942.89,R3,2024-09-10,Approved,2024-09-12,RISK_ENGINE
