application_id,customer_id,loan_type,requested_amount,risk_band_code_at_decision,application_date,decision,decision_date,source_system
APP-200614,CUST-102455,Credit Card,17239.27,R2,2024-01-12,Approved,2024-01-16,RISK_ENGINE
APP-200761,CUST-107076,Auto,34267.41,R6,2024-01-12,Approved,2024-01-14,RISK_ENGINE
APP-201110,CUST-102491,Auto,13913.42,R4,2024-01-12,Approved,2024-01-15,RISK_ENGINE
APP-202210,CUST-106412,Mortgage,337177.86,R6,2024-01-12,Approved,2024-01-15,RISK_ENGINE
APP-202466,CUST-103712,HELOC,17349.29,R4,2024-01-12,Approved,2024-01-13,RISK_ENGINE
APP-203052,CUST-104247,Auto,25614.79,R3,2024-01-12,Approved,2024-01-13,RISK_ENGINE
APP-204498,CUST-103349,Auto,26813.59,R4,2024-01-12,Approved,2024-01-14,RISK_ENGINE
APP-204709,CUST-101903,Auto,33278.84,R2,2024-01-12,Approved,2024-01-13,RISK_ENGINE
APP-205480,CUST-103929,Personal,5476.91,R3,2024-01-12,Approved,2024-01-16,RISK_ENGINE
APP-205847,CUST-103600,Auto,16769.3,R4,2024-01-12,Approved,2024-01-16,RISK_ENGINE
APP-206195,CUST-100975,Personal,17882.19,R6,2024-01-12,Approved,2024-01-15,RISK_ENGINE
APP-206720,CUST-101736,Personal,27480.64,R2,2024-01-12,Approved,2024-01-15,RISK_ENGINE
APP-206747,CUST-106011,Auto,51388.58,R5,2024-01-12,Approved,2024-01-16,RISK_ENGINE
APP-206763,CUST-100263,Auto,12310.59,R3,2024-01-12,Approved,2024-01-13,RISK_ENGINE
APP-207514,CUST-105066,Auto,11973.78,R3,2024-01-12,Approved,2024-01-14,RISK_ENGINE
APP-207515,CUST-100736,Personal,10252.71,R4,2024-01-12,Approved,2024-01-16,RISK_ENGINE
APP-207738,CUST-100735,Personal,34264.02,R6,2024-01-12,Approved,2024-01-15,RISK_ENGINE
APP-207853,CUST-106061,Auto,20215.84,R5,2024-01-12,Declined,2024-01-16,RISK_ENGINE
APP-207876,CUST-106366,HELOC,34469.34,R2,2024-01-12,Approved,2024-01-13,RISK_ENGINE
APP-208364,CUST-107317,Personal,12441.04,R4,2024-01-12,Approved,2024-01-14,RISK_ENGINE
APP-210125,CUST-104913,Auto,24179.55,R5,2024-01-12,Approved,2024-01-16,RISK_ENGINE
APP-210319,CUST-104884,Personal,3929.02,R5,2024-01-12,Approved,2024-01-15,RISK_ENGINE
