loan_id,application_id,primary_customer_id,loan_type,loan_sub_product,origination_date,disbursement_date,origination_amount,interest_rate,loan_term_months,is_secured_flag,collateral_type,due_day_of_month,risk_band_code,source_system
LN-500646,APP-200692,CUST-107250,Auto,Auto Standard,2025-02-01,2025-02-03,29251.56,0.0596,46,True,Vehicle,21,R6,LOAN_SERVICING
LN-500939,APP-201005,CUST-104227,Auto,Auto Standard,2025-02-01,2025-02-01,29753.59,0.0917,65,True,Vehicle,16,R5,LOAN_SERVICING
LN-501179,APP-201263,CUST-103894,Auto,Auto Standard,2025-02-01,2025-02-01,23796.15,0.1031,49,True,Vehicle,20,R5,LOAN_SERVICING
LN-501962,APP-202119,CUST-107407,Credit Card,Credit Card Standard,2025-02-01,2025-02-01,914.76,0.2532,0,False,None,9,R2,LOAN_SERVICING
LN-502613,APP-202835,CUST-100932,Auto,Auto Standard,2025-02-01,2025-02-03,15018.03,0.0994,64,True,Vehicle,1,R4,LOAN_SERVICING
LN-502858,APP-203095,CUST-105488,Auto,Auto Standard,2025-02-01,2025-02-03,23038.27,0.0527,53,True,Vehicle,1,R3,LOAN_SERVICING
LN-503053,APP-203304,CUST-107681,Personal,Personal Standard,2025-02-01,2025-02-02,7027.54,0.2006,54,False,None,28,R3,LOAN_SERVICING
LN-503608,APP-203913,CUST-106404,Personal,Personal Standard,2025-02-01,2025-02-01,28443.85,0.1047,47,False,None,2,R4,LOAN_SERVICING
LN-504854,APP-205261,CUST-103909,Credit Card,Credit Card Standard,2025-02-01,2025-02-01,1910.31,0.2073,0,False,None,8,R3,LOAN_SERVICING
LN-505061,APP-205500,CUST-106663,Mortgage,Mortgage Standard,2025-02-01,2025-02-02,351178.04,0.0707,267,True,Real Estate,26,R1,LOAN_SERVICING
LN-506015,APP-206535,CUST-102605,Personal,Personal Standard,2025-02-01,2025-02-01,22224.61,0.1331,46,False,None,6,R1,LOAN_SERVICING
LN-506219,APP-206757,CUST-100413,Auto,Auto Standard,2025-02-01,2025-02-03,19665.94,0.0459,38,True,Vehicle,22,R3,LOAN_SERVICING
LN-507739,APP-208398,CUST-100734,HELOC,HELOC Standard,2025-02-01,2025-02-02,148169.82,0.0802,72,True,Real Estate,12,R1,LOAN_SERVICING
LN-507938,APP-208610,CUST-106706,Auto,Auto Standard,2025-02-01,2025-02-03,41902.37,0.0558,71,True,Vehicle,7,R3,LOAN_SERVICING
LN-508626,APP-209358,CUST-104214,Credit Card,Credit Card Standard,2025-02-01,2025-02-03,6837.23,0.1741,0,False,None,17,R3,LOAN_SERVICING
LN-508754,APP-209497,CUST-100030,Auto,Auto Standard,2025-02-01,2025-02-02,46106.88,0.0543,48,True,Vehicle,25,R4,LOAN_SERVICING
LN-508829,APP-209574,CUST-107333,HELOC,HELOC Standard,2025-02-01,2025-02-01,29378.08,0.0849,118,True,Real Estate,9,R2,LOAN_SERVICING
LN-508996,APP-209754,CUST-100798,Personal,Personal Standard,2025-02-01,2025-02-03,9055.93,0.0932,32,False,None,13,R4,LOAN_SERVICING
LN-509250,APP-210035,CUST-102742,Auto,Auto Standard,2025-02-01,2025-02-01,26320.93,0.0773,39,True,Vehicle,14,R1,LOAN_SERVICING
LN-509291,APP-210077,CUST-106395,Credit Card,Credit Card Standard,2025-02-01,2025-02-02,13345.09,0.2048,0,False,None,21,R3,LOAN_SERVICING
