ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700044,LN-500709,CUST-103506,CTC-60000383,COL-1069,2025-05-24,2025-06-04,125.7,Kept,125.7,2025-05-30
PTP-700064,LN-501037,CUST-107481,CTC-60000573,COL-1114,2025-05-24,2025-05-28,127.3,Kept,127.3,2025-05-25
PTP-700147,LN-502837,CUST-100360,CTC-60001449,COL-1104,2025-05-24,2025-06-03,105.1,Kept,105.1,2025-06-02
PTP-700191,LN-503667,CUST-101428,CTC-60001854,COL-1069,2025-05-24,2025-06-06,50.0,Partial,20.95,2025-06-06
PTP-700285,LN-505497,CUST-101177,CTC-60002809,COL-1020,2025-05-24,2025-05-27,85.49,Kept,85.49,2025-05-28
PTP-700359,LN-506937,CUST-102658,CTC-60003509,COL-1028,2025-05-24,2025-06-02,50.0,Kept,50.0,2025-05-29
PTP-700408,LN-507924,CUST-102519,CTC-60004002,COL-1020,2025-05-24,2025-05-29,185.43,Partial,108.49,2025-05-29
PTP-700596,LN-501622,CUST-105369,CTC-60005693,COL-1013,2025-05-24,2025-05-26,286.06,Kept,286.06,2025-05-26
PTP-700653,LN-503188,CUST-101996,CTC-60006281,COL-1080,2025-05-24,2025-05-28,338.56,Kept,338.56,2025-05-24
PTP-700737,LN-505592,CUST-100653,CTC-60007163,COL-1064,2025-05-24,2025-05-29,250.54,Broken,0.0,
PTP-700916,LN-500329,CUST-103032,CTC-60008964,COL-1058,2025-05-24,2025-05-28,441.68,Kept,441.68,2025-05-25
PTP-700918,LN-500339,CUST-103578,CTC-60008973,COL-1049,2025-05-24,2025-06-03,232.76,Kept,232.76,2025-06-01
PTP-701007,LN-503313,CUST-107019,CTC-60009841,COL-1047,2025-05-24,2025-05-26,304.79,Kept,304.79,2025-05-24
PTP-701644,LN-507559,CUST-100595,CTC-60016046,COL-1005,2025-05-24,2025-06-01,1068.44,Broken,0.0,
PTP-701686,LN-508011,CUST-100605,CTC-60016480,COL-1084,2025-05-24,2025-06-07,1530.31,Kept,1530.31,2025-06-09
