payment_id,loan_id,customer_id,payment_date,payment_amount,scheduled_amount,payment_type,payment_method,payment_status,is_reversal_flag,nsf_flag,original_payment_id,effective_date,ingestion_date,is_late_arrival,is_corrupt_record
PMT-9006787,LN-502659,CUST-104873,2025-02-01,405.78,405.78,Scheduled,Check,Posted,False,False,,2025-02-01,2025-02-10,True,False
PMT-9006833,LN-500083,CUST-101689,2025-02-01,1208.36,1208.36,Scheduled,Cash,Posted,False,False,,2025-02-01,2025-02-10,True,False
PMT-9007070,LN-509413,CUST-102429,2025-02-02,651.33,651.33,Scheduled,ACH,Posted,False,False,,2025-02-02,2025-02-10,True,False
PMT-9007139,LN-507594,CUST-103741,2025-02-02,294.35,0.0,Extra,ACH,Posted,False,False,,2025-02-02,2025-02-10,True,False
PMT-9007289,LN-500180,CUST-107695,2025-02-03,255.98,255.98,Scheduled,ACH,Posted,False,False,,2025-02-03,2025-02-10,True,False
PMT-9007665,LN-507036,CUST-105516,2025-02-04,810.61,810.61,Scheduled,ACH,Posted,False,False,,2025-02-04,2025-02-10,True,False
PMT-9007769,LN-501029,CUST-101939,2025-02-05,1310.17,1310.17,Scheduled,Debit Card,Posted,False,False,,2025-02-05,2025-02-10,True,False
PMT-9008044,LN-505601,CUST-107644,2025-02-06,61.1,61.1,Scheduled,ACH,Posted,False,False,,2025-02-06,2025-02-10,True,False
PMT-9008407,LN-503080,CUST-105599,2025-02-07,449.07,449.07,Scheduled,Check,Posted,False,False,,2025-02-07,2025-02-10,True,False
PMT-9008668,LN-503333,CUST-104241,2025-02-08,139.87,139.87,Scheduled,ACH,Posted,False,False,,2025-02-08,2025-02-10,True,False
PMT-9009055,LN-507178,CUST-104965,2025-02-10,808.03,808.03,Scheduled,Debit Card,Posted,False,False,,2025-02-10,2025-02-10,False,False
PMT-9009056,LN-500640,CUST-101354,2025-02-10,906.99,906.99,Scheduled,ACH,Posted,False,False,,2025-02-10,2025-02-10,False,False
PMT-9009057,LN-509932,CUST-105051,2025-02-10,1172.1,1172.1,Scheduled,Check,Posted,False,False,,2025-02-10,2025-02-10,False,False
PMT-9009058,LN-508240,CUST-106897,2025-02-10,87.06,87.06,Scheduled,Debit Card,Posted,False,False,,2025-02-10,2025-02-10,False,False
