ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700128,LN-502597,CUST-102405,CTC-60001308,COL-1011,2025-03-28,2025-04-07,50.0,Kept,50.0,2025-03-29
PTP-700254,LN-504932,CUST-106872,CTC-60002522,COL-1025,2025-03-28,2025-04-03,120.32,Partial,61.26,2025-04-03
PTP-700695,LN-504154,CUST-105164,CTC-60006663,COL-1065,2025-03-28,2025-04-08,284.18,Partial,87.46,2025-04-08
PTP-700790,LN-507167,CUST-107774,CTC-60007670,COL-1089,2025-03-28,2025-03-30,271.93,Kept,271.93,2025-03-29
PTP-701211,LN-500093,CUST-107444,CTC-60011908,COL-1093,2025-03-28,2025-04-02,999.14,Broken,0.0,
PTP-701397,LN-503462,CUST-106358,CTC-60013693,COL-1064,2025-03-28,2025-04-05,1661.2,Partial,612.29,2025-04-05
PTP-701403,LN-503612,CUST-105094,CTC-60013761,COL-1064,2025-03-28,2025-04-03,790.81,Broken,0.0,
PTP-701488,LN-504906,CUST-107996,CTC-60014557,COL-1108,2025-03-28,2025-04-09,608.0,Broken,0.0,
PTP-701547,LN-505809,CUST-107198,CTC-60015052,COL-1092,2025-03-28,2025-04-07,369.63,Kept,369.63,2025-03-29
PTP-701809,LN-509759,CUST-102993,CTC-60017637,COL-1118,2025-03-28,2025-03-31,470.7,Kept,470.7,2025-04-01
